"Origin ID","Name","Alternative Name","ITI Number","Category","Source","Date","Palette","Threadcount","Notes","Origin URL"
"18","Campbell, Marquis of Lorne (Commemo)","","18","Commemorative","","1871","WW#FCFCFC; P#780078; R#C80000; G#006818; Y#E8C000; K#101010;","P/6 K6 G4 K22 G3 K3 G32 Y3 G3 WW3 G3 R3 G32 K3 G3 K22 G4 K/6","No details of what it was commemorating. In a notebook held at the National Library of Scotland. A sample exists in the Provost MacBean collection. Source was given as J.F.Campbell of Islay 1871. The Marquis of Lorne was another one of the titles used by the extended family of Queen Victoria. This pattern is probably a trade sett similar to Lorne, Louise and the Duke and Duchess of Fife. Whilst there is no verified Campbell connection for this sett, the name will remain until clarification is obtained.","http://www.tartansauthority.com/tartan-ferret/display/18/"
"19","Campbell Dress (Clan)","Dress Campbell","19","Clan; Family","","1880","WW#FCFCFC; BL#1474B4; K#000000; Y#E8C000; G#004C00;","WW/8 BL4 WW32 BL8 WW6 K16 G16 Y4 G16 K16 BL16 K4 BL8 K4 BL16 K16 G16 WW4 G16 K16 WW6 BL8 WW32 BL4 WW/8","A dress version of the Campbell tartan first appeared in the Clans Originaux of 1880 - a tartan pattern book produced by a Parisian company called J. Claude Freres et Cie. The 12th Duke refused to accept it as an official Campbell tartan. The present (13th) Duke has also done likewise (March 2015). This is not the Originaux version (see 4429 for that) which had no tramlines on the blue. It's not known exactly where this version shown at No. 19 originated.","http://www.tartansauthority.com/tartan-ferret/display/19/"
"20","Campbell, 42nd Dress (Military)","","20","Military","","pre 2002","BL#1474B4; WG#408060; K#101010; W#E0E0E0;","W/6 K4 W30 BL6 W6 K14 WG16 K4 WG16 K14 BL16 K2 BL/4","","http://www.tartansauthority.com/tartan-ferret/display/20/"
"22","Campbell, The 42nd Dress (Military)","","22","Military","","pre 2002","WW#FCFCFC; BL#1474B4; K#101010; G#006818;","WW/4 BL4 WW28 BL2 WW6 BL2 WW28 BL4 WW4 K16 G22 K4 G22 K16 BL20 K4 BL4 K4 BL20 K/16","Sample in Provost Macbean Collection.","http://www.tartansauthority.com/tartan-ferret/display/22/"
"24","Glen Lyon (District)","Mull. Wilsons No 53.","24","District","Wilsons of Bannockburn","1819","K#101010; LB#2888C4; G#006818;","LB/6 G8 K/10","This is recorded by Gordon Teall in' District Tartans' but no background is given to its choice as the Mull district tartan. Writing in 1996, Peter MacDonald said that in recent years this pattern has been promoted as the Glenlyon District Tartan although it is clear it started life as a Fancy Pattern. This tartan is specifically mentioned by Telford Dunbar in his 1962 'History of Highland Dress' (Page149) when he included it in a list of William Wilson's tartans that were most popular in 1822.","http://www.tartansauthority.com/tartan-ferret/display/24/"
"29","Scottish Gas (Corporate)","William Murdoch","29","Corporate","","1985","A#5C8CA8; NB#003C64; LRB#1474B4; LB#2888C4;","LB/8 NB4 LB22 NB22 LRB22 NB4 A8 NB4 LRB22 NB22 LB8 NB4 LB8 NB4 LB/22","A Black Watch sett. Named after William Murdoch founder of Scottish Gas. The following note from D C Stewart's Nomindex: ""Designed on the Scotweave computer at the Scottish College of Textiles, Galashiels circa 1985. Woven by D C Dalgliesh. If the tartan was eventually rejected by Scottish Gas it is understood that it would be named William Murdoch. The sett was adopted by Scottish Gas and is currently (1986/7) in use as skirts, ties etc by the staff of Scottish Gas showrooms."" March 2005. Count altered by BW to agree with the original STS record. Sample in STA Dalgety Collection labelled British Gas. This design is actually Forbes with some colour changes.","http://www.tartansauthority.com/tartan-ferret/display/29/"
"31","Harmony (Fashion)","","31","Fashion","Dalgliesh, D C","pre 2002","A#5C8CA8; LT#A08858; B#2C2C80; LB#2888C4; SW#FCFCFC; DB#202060; DBG#005448;","DB/22 A6 DB8 SW6 DB6 LT8 DB6 B26 LB68 DBG6 LB8 DB/6","Dalgleish sample. D C Dalgliesh produced a large range of fashion tartans named Harmony - a series of standard patterns in different colourways. Too complicated and time-consuming to enter all into this d/base so what woven samples are available are filed under 'H' for Harmony in the sample collection.","http://www.tartansauthority.com/tartan-ferret/display/31/"
"36","MacDonald of Denovan (Clan)","MacDonald Evans of Denovan; Denovan; Dunyveg","36","Clan; Family","MacDonald-Evans, Capt V.J.","pre 2002","P#780078; B#2C2C80; R#C80000; K#101010; G#006818;","B/20 P4 B6 R8 B28 R4 K28 G28 R8 G6 P4 G/20","Designed by Captain V.J. MacDonald-Evans for himself and future Lairds of Denovan, regardless of their name. Denovan is close to the town of Denny, near Falkirk in central Scotland. Restrictions removed and is the tartan for all of the surnames EVANS, MacDonald (Clan Ian Vor) and/or DENOVAN. Officers of the Household are also authorised to wear the Tartan.","http://www.tartansauthority.com/tartan-ferret/display/36/"
"39","Clergy (Smith)","","39","Clan; Family","","1850","A#5C8CA8; K#101010; DB#1C1C50;","A/4 DB12 A4 DB8 A4 K24 A4 K24 DB24 A4 K/4","A variation of the sett recorded by the Smiths in their 1850 publication ""Authenticated Tartans . . . "" where they wrote: ""Down till a very recent period, this pattern was generally worn by the Clergy in the Highlands for their weekday habiliments; and even now the secular mantle or plaid of the priesthood in the North is not unfrequently made of this, or similar kinds of stuff."" Although they seem to speak with the voice of authority, there is still debate on the matter although the following gives further credibility: ""It is well known that in earlier times the Highland clergy wore the Highland dress and carried arms. Many attempts were made to prevent them wearing tartan and to force them to wear conventional ministerial habit. These, however, had only limited success."" The SCALAN Catholic college in Glenlivet which operated in the late 1700s has reference in its 1780 accounts to buying tartan but of course there is no way of knowing if that was a plain tartan or the Clergy tartan as shown here since the word tartan was used for a type of cloth as well as for cloth woven with a tartan pattern. The Clergy tartan is sometimes called ""The Priest's Sett"", but in the Highlands is known as ""Breacan nan Cleirach"" - the tartan of the Clergy. As with so very many tartans, there are many variations of the Clergy sett, due to the vagaries of the illustrators of tartan books. There is no categorisation for occupational tartans so all the clergy tartans are classed as ""Clan/Family"". Original threadcount doubled.","http://www.tartansauthority.com/tartan-ferret/display/39/"
"43","Cian of Ely (Clan)","O'Carroll","43","Clan; Family","Saunders, R & P","pre 1983","LB#3874C4; TK#C4B48C; GO#C49400; SB#789484; K#2C2C80; PH#900090;","LB/76 K4 SB4 LB40 K16 TK36 PH16 LB36 SB4 K4 GO/8","Designed by Ralph and Patricia Saunders for the Clan Cian of Ely. Sindex notes state: ""Registered with the Chief Herald of Ireland, November 1983. Registered with TECA 01Jul1992 by Eli F.J. O'Carroll, chief of Clan Cian of Ely, Stockton, CA, USA. Accredited by STS 20 April 1989. Woven by D C Dalgliesh. Swatch in STA's Johnston Collection","http://www.tartansauthority.com/tartan-ferret/display/43/"
"44","Manx Cornaa (Personal)","","44","Personal","Teall, Dr D.G.","1981","B#2C2C80; LB#2888C4; W#E0E0E0;","LB/4 B20 LB20 W/4","Cornaa was the name of Gordon Teall's house in the Isle of Man. Manx refers to the Isle of Man, a large (221 sq miles) island in the Irish Sea which is a self governing Crown dependency with a population of about 70,000. The inhabitants are of Celtic origin. D C Stewart's Nomindex has a slog of BBB : BBB whereas the Slog here is BBB : BWB","http://www.tartansauthority.com/tartan-ferret/display/44/"
"45","St. Andrews Dress, Earl of (Danc","","45","Dance; Fancy","Dalgliesh, D C","Unknown","PB#9058D8; A#5C8CA8; B#2C2C80; DB#202060; W#E0E0E0;","B/14 PB4 DB4 W8 B38 A38 W/56","A dress version of #85 from D C Dalgliesh.","http://www.tartansauthority.com/tartan-ferret/display/45/"
"46","Wallace Blue (Fashion)","","46","Fashion","","pre 1985","A#5C8CA8; WW#F8F8F8; B#2C2C80; G#006818;","A/4 B58 A24 G58 WW/4","Of unknown origin. Sample in STA Johnston Collection. D.C. Dalgliesh weave. Sample also in STA Dalgety Collection.","http://www.tartansauthority.com/tartan-ferret/display/46/"
"48","Brooke (Name)","","48","Name","Nisbett, Angela","pre 1993","WW#FCFCFC; LG#289C18; BB#3850C8; Y#E8C000; SB#A8ACE8; K#101010; ZR#A00000;","BB/4 SB2 BB4 K32 LG40 K28 ZR4 WW4 Y/4","An ""Irish"" tartan. J Dalgety letter 26/3/93. Other source states that it was devised by 'historian', Angela Nisbett, to give some impression of this rare example of an Irish tartan. Sindex notes say that this is allegedly a 17th century Irish tartan the sett of which was obtained from A W Geddes of Kinloch Anderson, Edinburgh. An extremely dubious claim since there is no historical evidence of any Irish clan/family tartans. An interesting note in YTom Sinclair's Scrapbook: ""In the 17th century Lord Montgomery in Armagh (who had an interest in Scottish Woollen Mills) started a factory in N. Ireland weaving tartans at a cheaper rate (lower wages) and some of his Irish and Anglo Irish friends desired some, so he invented such as Duke of Leinster, Brooke, Montgomery etc."" The accompanying graphic of the Brooke shows only one white line on the blue. The note says that the Brooke was the same as the old Montgomery sett but none of them appear close to this except a West Coast Woolen Mill pattern - #5670.","http://www.tartansauthority.com/tartan-ferret/display/48/"
"51","Moray of Abercairny (Clan)","","51","Clan; Family","","pre 1735","A#5C8CA8; WW#F8F8F8; LR#D05054; G#006818; DR#880000; DB#1C1C50;","WW/2 A6 DB4 DR36 LR4 G32 LR4 DR4 LR4 A6 WW/2","The sett is derived from the portrait of James, 14th Laird, painted about 1735. Historians have made different interpretations of the tartan. The tartan is similar to other Perthshire setts but not to the Clan Murray tartan. As interpreted by Peter MacDonald. 1995 handwoven sample in STA Johnston Collection. The red should be a claret red.","http://www.tartansauthority.com/tartan-ferret/display/51/"
"57","Abbotsford (Commemorative)","","57","Commemorative","Buchan, Alistair","1971","R#C80000; B#2C2C80; W#E0E0E0; G#007C1C; DY#E8C000; K#101010;","G/10 K4 W6 K6 DY4 B8 K6 W6 K6 W6 K6 W6 K6 W6 K6 W6 K6 G8 R6 G6 W4 G4 K/10","Fashion tartan designed by Alistair Buchan of Lochcarron of Scotland to mark the Sir Walter Scott Anniversary.""","http://www.tartansauthority.com/tartan-ferret/display/57/"
"59","MacLean of Duart Dress (Clan)","MacLean of Duart Dr Brgndy Dance, MacLean of Duart","59","Clan; Family","","pre 2002","A#5C8CA8; C#A00048; B#2C2C80; W#E0E0E0; Y#E8C000; K#101010;","A/24 B4 K8 Y4 K6 C6 K6 C38 W62 B4 W8 K/4","Dress form of MacLean of Duart. Count taken from a sample in Reproduction colours. Woven as a dance tartan by D C Dalgliesh of Selkirk.","http://www.tartansauthority.com/tartan-ferret/display/59/"
"60","New York Fire Dept. (Corporate)","New York Fireman's Pipe Band","60","American; Corporate","Grainger & Campbell","Feb 1964","WW#F8F8F8; SB#A8ACE8; K#101010; B#2C2C80; G#006818;","K/16 WW4 G52 K44 B44 SB/12","Designed by Grainger & Campbell of Argyll Street, Glasgow and used on ceremonial occasions. Broad blue lightened to show the sett. D C Stewart in Nomindex says based on Hunting Rose (#1226) with the red line of the Rose replaced by azure. Sample in STA Johnston Collection in which the blue is so dark as to be almost indistinguishable from the black. See also #946 - Nisbet Dress Rose. A sample exists in the Johnston Collection labelled New York Police Band but the STA has always been under the impression that that band were very much Irish oriented and wore plain green kilts.","http://www.tartansauthority.com/tartan-ferret/display/60/"
"61","MacLean of Kingairloch (Personal)","","61","Personal","","pre 2002","WW#FCFCFC; Y#E8C000; T#845800; G#006818; BL#1474B4; K#101010;","BL/162 K12 Y2 K4 WW4 K4 G24 T56 WW2 T/8","A private family tartan for which permission should be sought before wearing.","http://www.tartansauthority.com/tartan-ferret/display/61/"
"65","Smith, Sir William (?)","Boy's Brigade BB","65","Corporate","","ca 1975","A#5C8CA8; YY#FCCC00; K#101010; B#2C2C80; G#006818;","A/6 B36 K40 G40 K2 YY/6","Sindex checked May 2002. ""Designed for Sir William Smith (1854 - 1914) Founder of the Boys' Brigade."" Compare this to #488 - same but for lack of red lines. It is claimed that originally it was Sir Willaim's personal tartan but now it is generally available for all of that name - a misleading claim since the tartan for Smith is now accepted as being 488. This No 65 now seems to have been widely accepted as a Boy's Brigade tartan but there is also another contender - 1466 - which is a different design that came from Patons of Tillicoultry and which has recently (2005) been woven by House of Edgar for a BB troop.","http://www.tartansauthority.com/tartan-ferret/display/65/"
"73","Stewart of Ardshiel - 1816 (Clan)","","73","Clan; Family","","1810","A#5C8CA8; R#C80000; VDB#00002C; HG#285800; CLR#E87878;","A/4 VDB2 CLR2 R12 HG66 R4 VDB2 A2 R6 VDB34 R6 A2 VDB2 R65 VDB3 CLR2 R6 HG/14","There are minor differences between the warp and weft in the blue not shown in the illustration. This is the earliest record of a Stewart of Ardshiel tartan. It differs from the Stewart of Appin in that the Red is interchanged with the blue. Ardshiel is part of Appin and it may be a variation on a sett common to the area. Stewarts of Ardshiel are regarded as a sept of the Appin branch.","http://www.tartansauthority.com/tartan-ferret/display/73/"
"74","Couper of Gogar (Clan)","","74","Clan; Family","","circa 1886","R#C80000; K#101010; B#2C2C80; CLR#C49CD8; G#006818;","R/4 CLR8 B4 G48 B8 G4 B8 K20 CLR8 B4 CLR8 G16 B2 K4 B44 CLR8 B4 R/4","Originally woven by Peter MacArthur Ltd of Biggar (late of Hamilton). Mr MacArthur said it had been copied from an old shawl or 'maud' so it was at least 100 years old at the time (what time that was is unknown). Similar to 332 - Cooper. The Coupers of Gogar are also Baronets of Nova Scotia (1638). See Cooper at 1415 which is the same tartan with just a minor change. Two woven samples - July 2014 - from Tom Sinclair Scrapbook. This entry altered to match.","http://www.tartansauthority.com/tartan-ferret/display/74/"
"75","Cooper Dress (Dalgliesh #1) (Dance)","","75","Dance","Dalgliesh, D C","pre 1988","WW#FCFCFC; LV#C49CD8; R#C80000; G#006818; NB#2C2C80; K#101010;","NB/4 LV8 R4 WW52 NB6 WW4 NB6 K20 LV6 NB4 LV6 G18 NB2 K2 NB42 LV6 NB4 R/4","The status of this is not known i.e. is it a legitimate Dress version of the Clan Tartan or is it merely a Dance sett? This is the Couper of Gogar (74) with most of the green replaced with white. No 74 dates to around 1886 when it was woven for the Gogar branch of the family by Peter MacArthur and Company of Biggar (previously of Hamilton). This dress version is a relatively recent addition probably designed and certainly woven by D.C. Dalgliesh of Selkirk.","http://www.tartansauthority.com/tartan-ferret/display/75/"
"79","MacDonald of Glenaladale - 1772 (Cla","","79","Clan; Family","","1772","WW#FCFCFC; SB#A8ACE8; VDB#00002C; G#006818; ASR#CC4438;","VDB/5 SB2 ASR50 VDB50 ASR5 WW2 ASR5 G42 ASR50 VDB5 WW/2","Count, halved to show sett, from the original sett per Peter MacDonald's research. One of three claimants said to have belonged to Alexander MacDonald of Glenaladale at the time of Culloden and shipped to Canada when he and his son emigrated in 1772. This count is said to be based on a 1/16th inch count of a specimen at St.Peters, Rome where Alexander MacDonald of Glenaldale is thought to be buried. There is a longer count for this same specimen in which the fine light blue is alternatively recorded as white.","http://www.tartansauthority.com/tartan-ferret/display/79/"
"80","U.S. Navy/Edzell (Military)","","80","American; Military","Mackie, Arthur","1986","BN#14283C; R#C80000; NB#2C2C80; W#E0E0E0;","BN/90 NB14 W6 NB54 R2 NB/14","Designed by Arthur Mackie of Strathmore Woollens for USN personnel at Edzell radar base in Angus, Scotland. There is an effort to erroneously call this ""the"" U.S. Navy tartan but it has no official sanction. Neckties have appeared, and navy men are wearing it in kilts at U.S.A. Scottish games. A report in Nov. 2007 ""At the end of his talk, a former Army soldier, Larry MacDuff of Port Ludlow, presented Symonds [ Rear Adm. James A. Symonds,} with a shirt with the Navy tartan."" Not known yet what tartan that was but it's assumed it was this one. An alternative count exists in the archives: BN/16 R4 BN66 W8 R16 NB/104 BN is blue grey.","http://www.tartansauthority.com/tartan-ferret/display/80/"
"82","S.C.O.T.S. (Corporate)","","82","American; Corporate","Kinloch Anderson Ltd","1989","BL#1474B4; R#C80000; RB#1C0070; W#E0E0E0;","BL/136 RB45 W7 RB4 R4 RB/16","""Special Counselor of Travel to Scotland"" Same as Earl of St. Andrews with two narrow white stripes changed to red. For use by SCOTS Counsellors - US travel agents trained to sell Scottish holidays. Woven by Peter MacArthur.","http://www.tartansauthority.com/tartan-ferret/display/82/"
"83","FBI (Corporate)","Federal Bureau of Investigation","83","American; Corporate","Gillies, Douglas","pre 2002","LN#C0C0C0; AB#1870A4; DR#880000; RB#1C0070;","DR/4 AB52 RB32 LN6 RB4 LN4 RB/12","Same as Earl of St. Andrews with red line on blue ground. Commissioned for use for the FBI Pipe Band from Thomas Gordon & Sons of Glasgow but now regarded as being the FBI tartan. The now defunct Scottish Tartans Society register has a different tartan (#82) allocated to the FBI and comments: ""Discovered (in 1991) to be the same as a previously accredited tartan, ''S.C.O.T.S.'' (#82) designed by Kinloch Anderson in 1988. Twenty kilts have been produced for the F.B.I. pipe band."" Whilst the tartans are similar they're certainly not the same.","http://www.tartansauthority.com/tartan-ferret/display/83/"
"85","St. Andrews, Earl of (District)","","85","District","Bottomley, Arthur","1930","DW#F8F8F8; AB#1870A4; VDB#1C0070;","AB/104 VDB56 DW10 VDB6 DW4 VDB/20","Designed in 1930 by Arthur Bottomley a director of Peter MacArthur Ltd., specifically for the use of Prince George, the Duke of Kent, who bore the title Earl of St. Andrews. He first wore it in 1939 to a Highland Society dinner in London three years before he was killed on active duty in World War II. Although it started life as a Restricted Royal tartan it's said that Marks & Spencers mounted a sales promotion with it in a 1973 campaign and since then it has gradually become the District tartan for St Andrews and the surrounding area. No independent evidence of the M & S claim.","http://www.tartansauthority.com/tartan-ferret/display/85/"
"87","Harmony Eildon (Dance)","Harmony Check, Longniddry, Eildon,","87","Dance","Dalgliesh, D C","1983","A#5C8CA8; B#2C2C80; LB#2888C4; W#E0E0E0;","B/82 A4 W4 A4 B10 LB24 W62 B/8","A dance tartan produced by D C Dalgliesh of Selkirk which appears to be known by a few different names: Longniddry, Eildon and Harmony Check.","http://www.tartansauthority.com/tartan-ferret/display/87/"
"89","Scotia (Fashion)","","89","Fashion","Allan, James","1850/1968","LG#289C18; LT#A08858; B#2C2C80; P#780078; BL#1474B4; CW#FCFCFC;","BL/12 B12 CW2 LT32 B12 BL44 P28 LG/12","Originally designed and woven by James Allan of East Kilbride in 1850. The sett was 'reconstructed' by David Easton of Eastons of Galashiels in 1968 and marketed as a national tartan for Scotland. It didn't catch on and is therefore rarely seen nowadays. Checked and verified in 1979 by Jack Dalgety. #1761 is a completely different tartan with the same name from Edinburgh Woollen Mills which Jack Dalgety referred to as Scotia Htg. Sample in STA Johnston Collection & in Scarlett Collection.","http://www.tartansauthority.com/tartan-ferret/display/89/"
"90","Unnamed C18th - Wedding Dress/Shawl","Ross Wedding tartan","90","Artifact; Portrait","","1766","A#5C8CA8; R#C80000; B#2C2C80; T#604000; G#006818; W#E0E0E0; K#101010;","B/6 A4 W2 A4 B6 R72 W2 B8 A8 T6 W2 T6 A8 B8 W2 G54 W2 G12 R12 A12 W2 K4 W4 K/8","Originally recorded as 'Ross' but only by association so relabelled as 'Unnamed' - PEM. This fragment formed part of a dress or shawl worn by Miss Middleton, of Mains of Logie, Angus, at her wedding to George Ross in 1766 during the period of proscription of tartan. It has some similarity with Jacobite tartan. Information from John Ross, Esq., High Wycombe","http://www.tartansauthority.com/tartan-ferret/display/90/"
"91","American St Andrews Societies (Corp.","American Bi-Centennial","91","American; Corporate","Johnston/Scarlett/Smith","1975","A#5C8CA8; K#101010; R#C80000; B#2C2C80; W#E0E0E0;","B/28 A4 W4 A4 B40 K40 R34 W8 R6 W6 R6 W6 R/10","This tartan started life as the American Bi-Centennial which was possibly designed vy Scotty Thompson but was then modified and the name changed to American St Andrews Societies. Jamie Scarlett, Bill Johnston and Phil Smith all had some input to this design, Jamie's being to 'offset' the white threads crossing to look like the stars in the American flag.","http://www.tartansauthority.com/tartan-ferret/display/91/"
"93","Lions Club (Corporate)","","93","Canadian; Corporate","Jenkins, Miss M Patricia","May 1962","AA#789484; P#780078; K#101010; Y#E8C000; WW#FCFCFC;","P/60 AA2 WW2 K2 P2 Y2 P8 WW8 Y12 P10 K2 AA5 P5 WW2 AA2 WW2 P5 AA5 P5 K5 WW/12","CIDD thread count used (36epi) supplied in John Fitzpatrick's July 2008 review of Canadian tartans. Designed by Miss M Patricia Jenkins, founder of The Loomcrofters of Gagetown (Est. 1941), New Brunswick for the Lions Clubs International, a community service organisation dedicated to the idea that the men and women who live in a community are in the best position to know who needs help and why. Local Clubs are part of the world's largest such organisation, with more than 1.35 million members within 45,000 clubs, serving in 200 countries and geographical areas. The association is both non-political and non-sectarian. The Scottish Tartans Society cloth archive specimen is said to differ slightly in the precise numbers of threads. Purple & Gold are the Lions' colours and azure and white are those of the United Nations organisation, indicating the worldwide character of the organisation. The Black and white are said to signify the world's needs and the Lions' efforts to answer them. The design 'portrays the Lions working throughout the world to bring light out of darkness whether that darkness be blindness, war, poverty, ignorance or some other world problem.""","http://www.tartansauthority.com/tartan-ferret/display/93/"
"94","MacPherson Dress, Purple (Dance)","","94","Dance","MacPherson, Hugh","1980","A#5C8CA8; P#780078; K#101010; W#E0E0E0;","W/10 K6 W62 P52 W8 P20 A/8","There are a great number of variations of the Dress MacPherson, many of them modern trade designs which are popular with country dancers. Hugh Macpherson of Edinburgh, kiltmaker and tartan designer some decades ago, supplied samples of these to the Scottish Tartan Society around 1980.","http://www.tartansauthority.com/tartan-ferret/display/94/"
"95","Fredericton (District)","","95","Canadian; District","Loomcrofters of Gagetown","1961","A#5C8CA8; WW#FCFCFC; R#C80000; G#006818; P#780078; Y#E8C000;","P/6 A2 WW24 R15 G12 A4 WW4 A4 WW4 A4 G34 Y/4","This apparently is a specimen presented to the Scottish Tartans Society by Loomcrofters, Fredericton, in 1987. Green is for the forests from which Fredericton was carved and for the trees that line here streets.Gold for Prince Frederick, Duke of York, second son of King George II. the red white and blue are from the Union Jack. The arrangement of the blue and white corners indicate the symmetry of the street plan in the heart of the city.","http://www.tartansauthority.com/tartan-ferret/display/95/"
