"ID", "Name", "P-pivot,R-repeat", "Colors", "Threadcount"
2381, "Auld Reekie Trade Tartan", R, "DG=003820DARK GREEN;XR=C80000BASIC RED;DB=202060DARK BLUE;B=2C2C80BLUE;R=C80000RED;G=006818GREEN;", "B8R6B6R44G16R4G16R44B6R6"
7303, "Auld Scotland Weavers Tartan", P, "LN=D8C888LIGHT GRAY;N=747C60GRAY;DN=5C5C5CDARK GREY;RR=60082CMARROON;LT=A08858LIGHT BROWN;OG=5C6428OLIVE GREEN;WB=789484WTHRED BLUE;", "R4LT24RR6LT6RR24OG24DN24N24OG2LN4"
254, "Austin or Keith/Marshall Clan Tartan", P, "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;", "B8K8B8G18K4"
611, "Australian District Tartan", P, "K=101010BLACK;B=98C8E8L BLUE;T=AC6444BROWN;LT=BC9450LIGHT BROWN;W=E0E0E0WHITE;", "B4T30LT20T8LT4K4LT4T8LT100T8LT4K4LT4T8LT20T30W4"
612, "Australian Dress District Tartan", P, "A=5C8CA8AZURE;K=101010BLACK;T=AC6444BROWN;LT=BC9450LIGHT BROWN;W=E0E0E0WHITE;", "A4T30LT20T8LT4K4LT4T8W100"
6098, "Australian National Australian District Tartan", P, "Y=E8C000YELLOW;G=006818GREEN;K=101010BLACK;WW=FCFCFCWILSON WHITE;R=C80000RED;B=2C2C80BLUE;DB=202060DARK BLUE;", "B10R4DB4WW4B6K4G4Y4G4WW2G4WW2G30DB104"
6460, "Austrian Bowhunters Hunting Corporate Tartan", R, "K=101010BLACK;DG=003820DARK GREEN;DR=880000DARK RED;Y=E8C000YELLOW;R=C80000RED;", "K6DG6K4DR6K4DG6K6DR10Y2DR10K6R6K6R6K6DG6K4DR6K4DG40DG40K4DR6K4DG6K6R6K6R6K6DR10Y2DR10K6DG6K4DR6K4DG6"
912, "Aviemore Check District Tartan", P, "T=604000BROWN;G=006818GREEN;W=E0E0E0WHITE;Y=E8C000YELLOW;", "G4T20G22Y8T2W36G4T2"
8177, "Aviemore Dress Tartan", P, "W=E0E0E0WHITE;SCR=A00048CRIMSON;B=2C2C80BLUE;R=C80000RED;G=006818GREEN;", "W120SCR2B20SCR44B6R6G2"
6305, "Ayre Personal Tartan", R, "R=C80000RED;Y=E8C000YELLOW;WW=FCFCFCWILSON WHITE;B=2C2C80BLUE;BL=1474B4BALMORAL BLUE;K=101010BLACK;G=006818GREEN;", "G82K2G2K2G2K8B28K2WW6K2B28K2Y6K2G32K2R5K2G15WW6G15K2R5K2G32K2Y6K2B28K2WW6K2B28K8G2K2G2K2"
436, "Ayrshire District Tartan", P, "B=2C2C80BLUE;T=604000BROWN;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;", "B8R4B40W4T16G32Y4G8"
1584, "Ayrton Family Tartan", P, "A=5C8CA8AZURE;K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW;", "R8K4G50K4A20K4G8K4B50K4Y8"
1330, "Ayrton Laoch Family Tartan", P, "B=2C2C80BLUE;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW;", "R4B8G4B4G4B4G24Y4G24R4"
1466, "B.B. Special Corporate Tartan", P, "B=2C2C80BLUE;DG=003820DARK GREEN;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;", "R6DG56G38DG6B38DG6B38DG6G38DG56W6"
10193, "Bagpipe Shop, The Corporate Tartan", P, "DN=5C5C5CDARK GREY;N=888888GRAY;K=101010BLACK;LT=A08858LIGHT BROWN;R=C80000RED;G=006818GREEN;LG=289C18LIGHT GREEN;LN=A0A0A0LIGHT GRAY;", "DN100LN30N30R10LG10"
2089, "Bahamas District Tartan", P, "B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;", "B6G22W22R4G14B44Y4B12"
3628, "Bailies of Bennachie Corporate Tartan", P, "WR=680028RED WINE;K=101010BLACK;G=48581CGREEN;DO=A44C00DARK ORANGE;NB=002450NAVY BLUE;ASR=CC4438SCARLET;SB=1084ACSKY BLUE;WG=848850WTHRD GREEN;", "G54WR4G8DO30NB52K4NB12"
278, "Baillie Clan Tartan", P, "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW;", "B28K4B4K4B4K28G26K3Y5K3G26K28B26K3R5"
206, "Baillie of Polkemett Family Tartan", P, "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;W=E0E0E0WHITE;", "B2K2B16K18G18W2G2W2G2W2G18K18B2K2B2K2B22"
2326, "Baillieville Family Tartan", R, "K=101010BLACK;DR=901C38MARROON;Y=E8C000YELLOW;", "Y4K16Y4K16Y44DR4Y4DR4Y44K16Y4K16"
104, "Baird Clan Tartan", P, "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;P=780078PURPLE;", "P6G2P2G16K16B16K4B6"
273, "Baird (Old) Clan Tartan", P, "K=101010BLACK;B=2C2C80BLUE;SCR=A00048CRIMSON;G=006818GREEN;", "B3K3B31K31G33SCR2G3SCR7"
233, "Baird Dress Clan Tartan", P, "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;P=780078PURPLE;W=E0E0E0WHITE;", "B8K8B46K24G20K2W46P4W4P8"
613, "Baker Family Tartan", P, "B=2C2C80BLUE;P=780078PURPLE;UT=480800UMBER;W=E0E0E0WHITE;", "B112UT12W4UT12B16W8P4W20"
2180, "Baker Dress Family Tartan", P, "B=2C2C80BLUE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;", "B112Y12W4Y12B16W8R4W20"
6784, "Balamory Fancy Tartan", P, "AW=ECCCB8PALE ROSE;LSB=98C8E8LIGHT SKY;LB=1888D8BALMORAL BLUE;LY=FCEC94PALE YELLOW;AK=1C1C1CANC BLACK;", "LB18LSB4LB18LY4LB18AW32LB2AK20AW8AK4AW4AK4AW8LB18"
683, "Balfour Family Tartan", P, "B=2C2C80BLUE;T=604000BROWN;N=888888GREY;R=C80000RED;Y=E8C000YELLOW;", "B60Y6T22Y6N66R12"
684, "Balfour Hunting Family Tartan", P, "B=2C2C80BLUE;T=604000BROWN;R=C80000RED;Y=E8C000YELLOW;", "B36Y4T12Y4T38R6"
7563, "Ballantyne Personal Tartan", P, "R=701820TULIP;DY=C8A438MARIGOLD;G=245024JADE;N=8C8C8CGREY ;", "N120G26N18R16DY8"
1708, "Ballater Trade or 'Fancy' Tartan", P, "K=101010BLACK;LT=A08858LIGHT BROWN;R=C80000RED;W=E0E0E0WHITE;", "R24W4LT6W4R6K10R4LT36W4"
1541, "Ballintrae Trade Tartan", P, "T=604000BROWN;DG=003820DARK GREEN;LG=289C18LIGHT GREEN;R=C80000RED;", "R10LG44T5DG40T62R5T10"
1302, "Balmoral Royal Tartan", P, "K=101010BLACK;N=888888GREY;LV=C49CD8LGT VIOLET;R=C80000RED;", "N4R2N16LV4K4N2LV2N2LV8N4K2N2R2"
1300, "Balmoral (Old and Rare) Royal Tartan", P, "K=101010BLACK;DN=5C5C5CDARK GREY;LN=C0C0C0LIGHT GRAY;R=C80000RED;", "LN9R5LN47DN13K11LN5DN5LN5DN21LN11K5LN5R5"
1524, "Baluchistan Fitzgerald Regimental Tartan", P, "SCR=A00048CRIMSON;OG=5C6428OLIVE GREEN;W=E0E0E0WHITE;", "SCR10OG40SCR10OG6SCR8OG10SCR72OG2W8"
2150, "Banff and Buchan District Tartan", P, "A=5C8CA8AZURE;B=2C2C80BLUE;DB=202060DARK BLUE;W=E0E0E0WHITE;Y=E8C000YELLOW;", "DB52W4DB6B30A52B4A6Y8"
2462, "Bank of Scotland Corporate Tartan", P, "K=101010BLACK;DB=202060DARK BLUE;W=E0E0E0WHITE;Y=E8C000YELLOW;", "W8DB60K46DB48Y8"
