"Source", "Source ID", "Category", "Name", "Threadcount" 
"House of Tartan", "10038", "Name", "Angotta", "K=000000BLACK;R=C80000RED;B=2C2C80BLUE;G=006818GREEN;LG=289C18LIGHT GREEN;DY=BC8C00DARKGOLD; R/2B80R2B4DY8B10DY4B10DY2B2DY2B2DY/12"
"House of Tartan", "1179", "District", "Angus", "K=101010BLACK;B=2C2C80BLUE;R=C80000RED; K/6R2K64B56R2B4R2B4R/6"
"House of Tartan", "1742", "Trade", "Annan", "K=101010BLACK;N=888888GREY;LT=A08858LIGHT BROWN;O=D87C00ORANGE; LT/12N40K32LT12N4LT8O8LT8N4LT/60"
"House of Tartan", "2282", "County", "Antrim Irish", "RR=B03000AM RUST;VDB=101448M BLUE;DBG=043C48PRUSSIAN;FSG=4C9864FS GREEN;LY=F4BC3CAM MUSTARD; LY/8FSG4VDB34RR10LY4VDB10LY4FSG34DBG4FSG/10"
"House of Tartan", "6447", "Commemorative", "Apache North Sea", "Y=D8B000YELLOW;WR=6C0070HEATHER;NB=003C64NAVY BLUE;K=101010BLACK;N=888888GREY; Y4WR8Y4NB14N6K20K26NB14N6K26N6NB14K30NB14N6K26N6NB14K26K20N6NB14Y4WR8"
"House of Tartan", "961", "District", "Applecross (MacDonald)", "G=006818GREEN;R=C80000RED; G/36R4G14R/36"
"House of Tartan", "657", "Trade", "Aquascutum", "B=2C2C80BLUE;R=C80000RED;W=E0E0E0WHITE; B/22W22R/22"
"House of Tartan", "6596", "Corporate", "Arbroath Smokie", "R=C80000RED;BN=14283CBLUE GREY;DB=202060DARK BLUE;GO=BC8C00DARK GOLD;W=E0E0E0WHITE;DR=880000DARK RED GO/2DR90BN46W2BN12R4GO2R4GO/2"
"House of Tartan", "204", "Clan", "Arbuthnott", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;W=E0E0E0WHITE; B/8K8B38K38G14W4G16B16G16W4G14K38B8K8B8K8B/36"
"House of Tartan", "2487", "District", "Argentina Argentinian", "B=2C2C80BLUE;DB=202060DARK BLUE;ZZ=808080MISSING COLOUR;WW=F8F8F8WILSON WHITE;NB=003C64NAVY BLUE;YY=FCCC00YELLOW-BASIC;W=E0E0E0WHITE; B6DB72B6DB6B66W6B10W6B66DB6B6DB72"
"House of Tartan", "10007", "Fashion", "Argentine Flag", "AR=E86000ANC RED;Y=E8C000YELLOW;W=E0E0E0WHITE;A=5C8CA8AZURE; Y/8W6Y4W6Y2W4A/52"
"House of Tartan", "2079", "District", "Argyll", "A=5C8CA8AZURE;K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED; A/4K2G16K16B16K2R/4"
"House of Tartan", "5706", "District", "Arizona American", "K=101010BLACK;T=604000BROWN;HG=285800HUNTING GREEN;LB=2888C4LIGHT BLUE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;WW=FCFCFCWILSON WHITE;G=006818GREEN;A=5C8CA8AZURE; T6G4WW4R4T24K24G24R4G4A4G4Y4G4A4G4R4G24K24T24R4WW4G4"
"House of Tartan", "2678", "District", "Arkansas State American", "K=101010BLACK;HG=285800HUNTING GREEN;S=C8002CSCARLET;WW=FCFCFCWILSON WHITE;G=006818GREEN;LG=289C18LIGHT GREEN;p=2C0038350; G/8K12G12S24G48WW4G/12"
"House of Tartan", "2276", "County", "Armagh Irish", "Y=BCAC20C YELLOW;OG=407C40P GREEN;XR=A81830SCARLETT;DG=043828VENUS GREEN; OG/4DG22OG6DG4XR8DG4OG34Y4OG/8"
"House of Tartan", "793", "Clan", "Armstrong", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED; G/4K2G60K24B4K2B2K2B24R/6"
"House of Tartan", "6482", "Corporate", "Arnold Palmer", "EG=009468Emerald Green;DG=003820DARK GREEN;R=C80000RED;W=E0E0E0WHITE;K=101010BLACK;Y=E8C000YELLOW;BG=285800HUNTING GREEN; BG/80R10K4W4K4Y6K4BG20R6K/6"
"House of Tartan", "381", "District", "Arran", "K=101010BLACK;N=888888GREY;P=780078PURPLE;R=C80000RED;W=E0E0E0WHITE; P/90N5P5N5P5K16R3K5R4K4R5K3R6W4R6K3R5K4R4K5R3K16N22K/5"
"House of Tartan", "1365", "Corporate", "Arrol", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;XR=C80000RED;W=E0E0E0WHITE; XR/10B30K30G30W4G30K30G30W/4"
"House of Tartan", "3840", "Personal", "Asher", "Y=E8C000YELLOW;W=E0E0E0WHITE;RB=1C0070ROYAL BLUE;R=C80000RED;DG=003820DARK GREEN; DG80DY4RB6R8RB6DY4DG80W6DG80DY4RB6R8RB6DY4"
"House of Tartan", "3529", "Family", "Asman Day Tan", "K=101010BLACK;LT=A08858LIGHT BROWN;LN=C0C0C0LIGHT GRAY;MY=D09800M YELLOW;OG=5C6428OLIVE GREEN;R=C80000RED; LT/8MY4LT36R12LN4K12LN4LT12OG36K4OG/8"
"House of Tartan", "2552", "Family", "Asman Dress", "K=101010BLACK;DB=202060DARK BLUE;GO=BC8C00DARK GOLD;DR=880000DARK RED;E=4C3428DRAB;LN=C0C0C0LIGHT GRAY;WW=FCFCFCWILSON WHITE;R=C80000RED;DY=E8C000GOLD;B=2C2C80BLUE;N=888888GREY; B/8DY6B44N12WW4K12WW4R12R40K6R/8"
"House of Tartan", "2553", "Family", "Asman Hunting", "K=101010BLACK;DB=202060DARK BLUE;GO=BC8C00DARK GOLD;DR=880000DARK RED;E=4C3428DRAB;W=E0E0E0WHITE;WW=FCFCFCWILSON WHITE;N=888888GREY;R=C80000RED;DY=E8C000GOLD;B=2C2C80BLUE; B/8DY6B44R12WW4K12WW4B12N40K6N/8"
"House of Tartan", "2078", "District", "Atholl", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED; B/24K4B4K4B4K24G24R6G24K24B24K2R/6"
"House of Tartan", "1781", "Trade", "Atlantic Ancient", "B=2C2C80BLUE;T=604000BROWN;DB=202060DARK BLUE;DG=003820DARK GREEN;W=E0E0E0WHITE;Y=E8C000YELLOW; W/6B34T32DB4DG34Y/4"
"House of Tartan", "2159", "District", "Aubigny Auld Alliance", "K=101010BLACK;DY=E8C000GOLD;S=C8002CSCARLET; S18K4S10K4S36K18DY8K4DY6K4DY40K4DY6K4DY8K18S18"
"House of Tartan", "10014", "Name", "Auchinachie", "B=2C2C80BLUE;K=101010BLACK;G=006818GREEN;R=C80000RED;A=5C8CA8AZURE;Y=E8C000YELLOW; A/4K4B24K8R2K8A20Y2A20K16B24K/4"
"House of Tartan", "3043", "District", "Auckland New Zealand", "K=101010BLACK;B=2C2C80BLUE;DG=003820DARK GREEN;LN=C0C0C0LIGHT GRAY; DG/6K6B4K32B4K4B48LN/4"
"House of Tartan", "2402", "", "Auld Lang Syne (red) Tartan", "R=C80000RED;G=006818GREEN;K=101010BLACK; R/8G4R48K12R10G28R/8"
"House of Tartan", "7250", "Fashion", "Auld Lang Syne Blue", "W=E0E0E0WHITE;K=101010BLACK;G=004505;B=3A70DD;L=9173B3; W/4L12K4G20K50L6K6L6K6B18K4W/8"
"House of Tartan", "2401", "Brown", "Auld Lang Syne", "W=FFFFDA;N=977957;O=352406;B=130D00; W/8B4O16B4N4B4N4B46O20B4O14B/4"
"House of Tartan", "2400", "Commemorative", "Auld Lang Syne Burns", "K=090700;L=A7EAE1;B=205D7A;N=351D00; L/6N6K6N48B48K6B6K/6"
"House of Tartan", "8081", "Weavers", "Auld Lang Syne, Grey", "W=E0E0E0WHITE;LP=B468ACMAUVE;K=101010BLACK;G=006818GREEN;FSB=3C4C6CFS BLUE;P=780078PURPLE;N=888888GRAY;DR=880000DARK RED; K/4N12K4N20K46DR6K6DR6N6N18K4W/8"
"House of Tartan", "2381", "Trade", "Auld Reekie", "DG=003820DARK GREEN;XR=C80000BASIC RED;DB=202060DARK BLUE;B=2C2C80BLUE;R=C80000RED;G=006818GREEN; B8R6B6R44G16R4G16R44B6R6"
"House of Tartan", "7303", "Weavers", "Auld Scotland", "LN=D8C888LIGHT GRAY;N=747C60GRAY;DN=5C5C5CDARK GREY;RR=60082CMARROON;LT=A08858LIGHT BROWN;OG=5C6428OLIVE GREEN;WB=789484WTHRED BLUE; R/4LT24RR6LT6RR24OG24DN24N24OG2LN/4"
"House of Tartan", "254", "Clan", "Austin or Keith/Marshall", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN; B/8K8B8G18K/4"
"House of Tartan", "611", "District", "Australian", "K=101010BLACK;B=98C8E8L BLUE;T=AC6444BROWN;LT=BC9450LIGHT BROWN;W=E0E0E0WHITE; B/4T30LT20T8LT4K4LT4T8LT100T8LT4K4LT4T8LT20T30W/4"
"House of Tartan", "612", "District", "Australian Dress", "A=5C8CA8AZURE;K=101010BLACK;T=AC6444BROWN;LT=BC9450LIGHT BROWN;W=E0E0E0WHITE; A/4T30LT20T8LT4K4LT4T8W/100"
"House of Tartan", "6098", "District", "Australian National Australian", "Y=E8C000YELLOW;G=006818GREEN;K=101010BLACK;WW=FCFCFCWILSON WHITE;R=C80000RED;B=2C2C80BLUE;DB=202060DARK BLUE; B/10R4DB4WW4B6K4G4Y4G4WW2G4WW2G30DB/104"
"House of Tartan", "6460", "Corporate", "Austrian Bowhunters Hunting", "K=101010BLACK;DG=003820DARK GREEN;DR=880000DARK RED;Y=E8C000YELLOW;R=C80000RED; K6DG6K4DR6K4DG6K6DR10Y2DR10K6R6K6R6K6DG6K4DR6K4DG40DG40K4DR6K4DG6K6R6K6R6K6DR10Y2DR10K6DG6K4DR6K4DG6"
"House of Tartan", "912", "District", "Aviemore Check", "T=604000BROWN;G=006818GREEN;W=E0E0E0WHITE;Y=E8C000YELLOW; G/4T20G22Y8T2W36G4T/2"
"House of Tartan", "8177", "Dress", "Aviemore", "W=E0E0E0WHITE;SCR=A00048CRIMSON;B=2C2C80BLUE;R=C80000RED;G=006818GREEN; W/120SCR2B20SCR44B6R6G/2"
"House of Tartan", "6305", "Personal", "Ayre", "R=C80000RED;Y=E8C000YELLOW;WW=FCFCFCWILSON WHITE;B=2C2C80BLUE;BL=1474B4BALMORAL BLUE;K=101010BLACK;G=006818GREEN; G82K2G2K2G2K8B28K2WW6K2B28K2Y6K2G32K2R5K2G15WW6G15K2R5K2G32K2Y6K2B28K2WW6K2B28K8G2K2G2K2"
"House of Tartan", "436", "District", "Ayrshire", "B=2C2C80BLUE;T=604000BROWN;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; B/8R4B40W4T16G32Y4G/8"
"House of Tartan", "1584", "Family", "Ayrton", "A=5C8CA8AZURE;K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW; R/8K4G50K4A20K4G8K4B50K4Y/8"
"House of Tartan", "1330", "Family", "Ayrton Laoch", "B=2C2C80BLUE;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW; R/4B8G4B4G4B4G24Y4G24R/4"
"House of Tartan", "1466", "Corporate", "B.B. Special", "B=2C2C80BLUE;DG=003820DARK GREEN;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE; R/6DG56G38DG6B38DG6B38DG6G38DG56W/6"
"House of Tartan", "10193", "Corporate", "Bagpipe Shop, The", "DN=5C5C5CDARK GREY;N=888888GRAY;K=101010BLACK;LT=A08858LIGHT BROWN;R=C80000RED;G=006818GREEN;LG=289C18LIGHT GREEN;LN=A0A0A0LIGHT GRAY; DN/100LN30N30R10LG/10"
"House of Tartan", "2089", "District", "Bahamas", "B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; B/6G22W22R4G14B44Y4B/12"
"House of Tartan", "3628", "Corporate", "Bailies of Bennachie", "WR=680028RED WINE;K=101010BLACK;G=48581CGREEN;DO=A44C00DARK ORANGE;NB=002450NAVY BLUE;ASR=CC4438SCARLET;SB=1084ACSKY BLUE;WG=848850WTHRD GREEN; G/54WR4G8DO30NB52K4NB/12"
"House of Tartan", "278", "Clan", "Baillie", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW; B/28K4B4K4B4K28G26K3Y5K3G26K28B26K3R/5"
"House of Tartan", "206", "Family", "Baillie of Polkemett", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;W=E0E0E0WHITE; B/2K2B16K18G18W2G2W2G2W2G18K18B2K2B2K2B/22"
"House of Tartan", "2326", "Family", "Baillieville", "K=101010BLACK;DR=901C38MARROON;Y=E8C000YELLOW; Y4K16Y4K16Y44DR4Y4DR4Y44K16Y4K16"
"House of Tartan", "104", "Clan", "Baird", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;P=780078PURPLE; P/6G2P2G16K16B16K4B/6"
"House of Tartan", "273", "Clan", "Baird (Old)", "K=101010BLACK;B=2C2C80BLUE;SCR=A00048CRIMSON;G=006818GREEN; B/3K3B31K31G33SCR2G3SCR/7"
"House of Tartan", "233", "Clan", "Baird Dress", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;P=780078PURPLE;W=E0E0E0WHITE; B/8K8B46K24G20K2W46P4W4P/8"
"House of Tartan", "613", "Family", "Baker", "B=2C2C80BLUE;P=780078PURPLE;UT=480800UMBER;W=E0E0E0WHITE; B/112UT12W4UT12B16W8P4W/20"
"House of Tartan", "2180", "Family", "Baker Dress", "B=2C2C80BLUE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; B/112Y12W4Y12B16W8R4W/20"
"House of Tartan", "6784", "Fancy", "Balamory", "AW=ECCCB8PALE ROSE;LSB=98C8E8LIGHT SKY;LB=1888D8BALMORAL BLUE;LY=FCEC94PALE YELLOW;AK=1C1C1CANC BLACK; LB/18LSB4LB18LY4LB18AW32LB2AK20AW8AK4AW4AK4AW8LB/18"
"House of Tartan", "683", "Family", "Balfour", "B=2C2C80BLUE;T=604000BROWN;N=888888GREY;R=C80000RED;Y=E8C000YELLOW; B/60Y6T22Y6N66R/12"
"House of Tartan", "684", "Family", "Balfour Hunting", "B=2C2C80BLUE;T=604000BROWN;R=C80000RED;Y=E8C000YELLOW; B/36Y4T12Y4T38R/6"
"House of Tartan", "7563", "Personal", "Ballantyne", "R=701820TULIP;DY=C8A438MARIGOLD;G=245024JADE;N=8C8C8CGREY ; N/120G26N18R16DY/8"
"House of Tartan", "1708", "", "Ballater Trade or 'Fancy' Tartan", "K=101010BLACK;LT=A08858LIGHT BROWN;R=C80000RED;W=E0E0E0WHITE; R/24W4LT6W4R6K10R4LT36W/4"
"House of Tartan", "1541", "Trade", "Ballintrae", "T=604000BROWN;DG=003820DARK GREEN;LG=289C18LIGHT GREEN;R=C80000RED; R/10LG44T5DG40T62R5T/10"
"House of Tartan", "1302", "Royal", "Balmoral", "K=101010BLACK;N=888888GREY;LV=C49CD8LGT VIOLET;R=C80000RED; N/4R2N16LV4K4N2LV2N2LV8N4K2N2R/2"
