"Source","Source ID","Category","Name","Palette","Threadcount","Overview","Comment","Copyright","Update date"
"Weddslist","","Robert Bradford","Borthwick","R#c80000; G#004c00; Y#707070; K#000000; ","G/17 K1 R16 K2 Y14 K19 Y14 K2 R/6","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Borthwick D","R#c80000; G#004c00; K#000000; Y#707070; ","R/4 K2 Y10 K14 Y10 K2 R10 K1 G/12","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Boyd","R#c80000; G#004c00; B#00004c; K#000000; W#d0d0d0; Y#ffc800; ","Y/5 G22 K2 B2 K2 B2 K10 R38 G5 R4 K4 W/5","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Breadalbane Fencibles","G#004c00; B#00004c; K#000000; Y#ffc800; ","B/8 K1 B1 K1 B1 K8 Y1 G13 Y1 K8 B9 K1 B/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Brodie","R#c80000; B#000080; K#000000; W#d0d0d0; Y#ffc800; ","R/48 W4 B4 K4 R12 B4 R1 Y/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Brodie Dress","R#c80000; K#000000; Y#ffc800; ","K/2 R16 K8 Y1 K8 R/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Brodie Hunting","R#c80000; G#004c00; B#00004c; K#000000; Y#ffc800; ","R/2 B8 G8 K8 Y1 G8 R/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Bruce","R#c80000; G#004c00; Y#ffc800; ","R/8 G2 R2 G6 R1 G6 R2 G2 R8 Y/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Buchanan","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; Y#ffff00; ","K1 Y6 K1 B4 K1 G6 B4 G6 K1 B4 K1 R8 W1 R8 K1 B4 K1 Y6","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Buchanan D","R#c80000; G#004c00; K#000000; W#d0d0d0; Y#ffff00; ","W/2 G16 K1 W2 K1 Y4 K1 Y4 K1 W2 K1 R16 W/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Buchanan D1","R#900000; G#009000; K#000000; W#d0d0d0; Y#ffff00; ","W/2 G16 K1 W2 K1 Y4 K1 Y4 K1 W2 K1 R16 W/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Buchanan VS","R#ff0000; K#000000; W#d0d0d0; ","K/1 W9 R4 W2 R4 W/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Cameron","G#004c00; R#c80000; Y#ffc800; ","Y/1 R16 G6 R2 G6 R/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Cameron Clan D","R#c80000; G#004c00; Y#ffc800; ","Y/1 R15 G6 R1 G6 R/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Cameron Hunting","R#c80000; G#004c00; B#000064; Y#ffc800; ","Y/2 G3 B16 G14 R3 G10 R/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Cameron of Erracht","K#000000; B#00004c; G#004c00; Y#ffc800; R#c80000; ","G/8 R1 G1 R3 G16 K16 R1 B16 R3 B8 Y/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Cameron of Locheil","R#c80000; G#004c00; B#000064; W#d0d0d0; ","R/6 G3 R6 B1 W1 B1 R2 B8 R/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Campbell","G#004c00; B#00004c; K#000000; ","B/11 K1 B1 K1 B1 K8 G8 K1 G8 K8 B8 K1 B/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Campbell Argyll","G#004c00; B#00004c; K#000000; W#d0d0d0; Y#ffc800; ","B/1 K1 B8 K8 G8 K1 W2 K1 G8 K8 B1 K1 B1 K1 B8 K1 B1 K1 B1 K8 G8 B1 Y2 B1 G8 K8 B8 K1 B/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Campbell Breadalbane","G#004c00; B#00004c; K#000000; Y#ffc800; ","K/3 B9 K9 G9 Y2 G9 K/9","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Campbell Cawdor","R#c80000; G#004c00; B#00004c; K#000000; W#d0d0d0; ","W/2 K1 G8 K8 B8 K1 R/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Campbell Loudon","G#004c00; B#00004c; K#000000; W#d0d0d0; Y#ffc800; ","Y/2 K1 G12 K12 B12 K1 B2 K1 B12 K12 G12 K1 W/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Carnegie","R#c80000; G#004c00; B#000064; K#000000; Y#ffc800; ","Y/1 G2 R1 G1 R2 G6 K6 R1 B6 R2 B1 R1 B/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Chisholm","R#c80000; G#004c00; B#5a3094; W#d0d0d0; ","R/12 B2 W1 B2 R3 G8 R3 B/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Chisholm D","R#c80000; G#004c00; B#5a3094; W#d0d0d0; ","R/6 W1 R24 B6 G2 B1 G2 B1 G12 R/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Chisholm VS","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; ","R/6 W1 R24 B6 G2 K1 G2 K1 G12 R/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Clan Chattan","R#c80000; G#004c00; K#000000; W#d0d0d0; Y#ffc800; N#808080; ","R/60 G2 W1 G15 W2 Y3 R3 K1 R3 Y3 N2 W16 K4 R4 Y6 W/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Clan Chattan D","R#c80000; G#004c00; K#000000; W#d0d0d0; Y#ffff00; N#a0a0a0; ","R/60 K2 W1 G16 W2 Y3 R3 K1 R3 Y3 N2 W16 K4 R4 Y6 W/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Clark","R#c80000; G#004c00; K#000000; W#d0d0d0; ","W/12 K4 G4 K4 R/12","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Clergy","Y#707070; K#000000; W#d0d0d0; ","W/1 K5 W1 Y4 W1 K26 W1 K10 Y5 K2 Y5 K10 W1 Y4 W1 K5 W/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Cochrane","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; Y#ffc800; ","G/16 R2 G2 R1 G3 R1 G2 R2 G12 K12 R1 B16 R2 B8 Y/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Cochrane LC","R#c80000; G#004c00; B#000064; K#000000; Y#ffc800; ","G/22 R4 G2 R2 G2 R4 G12 K12 R2 B10 R4 B4 Y/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Cockburn","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; Y#ffc800; ","G/36 K1 G1 K1 G1 K1 B12 K1 W1 K1 B12 K1 Y1 K1 G12 K2 R/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Colquhoun VS","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; ","B/4 K2 B16 W1 K8 G24 R/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Comyn","R#c80000; G#004c00; K#000000; W#d0d0d0; ","R/1 G4 W1 G4 R2 G2 R9 K/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Crawford","R#c80000; G#004c00; W#d0d0d0; ","R/6 W2 R30 G12 R3 G12 R/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Cumming LO","R#c80000; G#004c00; K#000000; W#d0d0d0; Y#ffc800; ","W/4 K2 W4 K10 Y1 G10 R4 W1 R/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Cumming SM","R#c80000; G#004c00; K#000000; W#d0d0d0; ","K/2 R18 G6 R3 G9 W1 G9 R/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Cumming VS","R#c80000; G#004c00; K#000000; W#d0d0d0; ","K/2 R24 G4 R2 G4 R4 G8 W1 G8 R/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Cunningham","R#c80000; B#00004c; K#000000; W#d0d0d0; ","W/3 R1 B1 R28 K30 R1 K/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Cunningham D","R#c80000; K#000000; W#d0d0d0; ","W/3 R1 K1 R28 K30 R1 K/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Dalzell","R#c80000; G#004c00; B#00004c; W#d0d0d0; ","G/6 R3 G2 R32 B2 W1 R4 B6 R4 W1 B2 R4 G32 R4 B2 W1 R/24","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Davidson","R#c80000; G#004c00; B#000064; K#000000; ","R/1 B6 G1 B1 G8 K1 G8 K1 G1 K6 R/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Davidson Double","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; ","G/3 W2 K3 G8 K8 B8 R2 B/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Davidson of Tulloch","R#c80000; G#004c00; B#00004c; K#000000; W#d0d0d0; ","W/1 G6 K3 B6 R/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Deeside District","B#536c9a; Y#ffc800; G#96815c; R#5d002c; W#ffc800; C#9b4000; ","W/2 G2 R4 G10 C2 B8 Y/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Douglas","W#d0d0d0; G#004c00; B#000064; K#000000; ","K/2 W2 G8 B8 W/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Douglas Green","G#004c00; B#000064; K#000000; W#d0d0d0; ","K/4 W2 G8 B8 W/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Douglas VS","K#000000; W#707070; ","W/2 K1 W16 K8 W1 K1 W1 K/16","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Drummond C","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; ","R/3 K1 R1 G6 R1 G1 R1 K2 R1 W1 R6 B1 R1 B1 R/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Drummond VS","R#c80000; G#004c00; K#000000; ","G/4 R1 G1 R28 G8 K1 G1 K1 G18 R1 G1 R/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Drummond of Perth","R#c80000; G#004c00; B#000064; W#d0d0d0; Y#ffc800; ","R/36 W1 B3 Y1 G16 R8 B3 W/5","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Dunbar","R#c80000; G#004c00; K#000000; ","R/4 G1 R28 K8 G21 R/6","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Duncan","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; ","K/4 G21 W3 G21 B21 R/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Dundas","R#c80000; G#004c00; B#000064; K#000000; ","K/2 G2 R1 G24 K12 B16 K/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Eglinton","R#c80000; G#004c00; K#000000; W#d0d0d0; ","K/3 G3 K3 W16 K3 R3 K/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Elliott","R#900000; B#000064; P#c80000; ","P/1 B3 R4 B/16","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Erskine","R#c80000; G#004c00; ","R/4 G1 R28 G24 R1 G/6","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Farquharson","R#c80000; G#004c00; B#000064; K#000000; Y#ffc800; ","R/2 B4 K1 B1 K1 B1 K8 G8 Y2 G8 K8 B8 K1 R/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Ferguson of Balquhidder","R#c80000; G#004c00; B#00004c; K#000000; ","G/2 B12 R1 K12 G12 K/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Fergusson","R#c80000; G#004c00; B#00004c; K#000000; W#d0d0d0; ","B/24 K8 G8 R2 G8 K1 W/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Fletcher","R#c80000; G#004c00; B#00004c; K#000000; ","B/6 K1 B6 K8 R1 G8 K/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Fletcher C","R#c80000; G#004c00; B#000064; K#000000; ","B/6 K1 B6 K8 R1 G8 R/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Forbes","K#000000; B#00004c; G#004c00; W#d0d0d0; ","B/8 K1 B2 K1 B2 K6 G8 K1 W2 K1 G8 K6 B8 K1 B/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Forbes Dress","G#004c00; B#00004c; K#000000; W#d0d0d0; ","W/1 B2 W16 B4 W4 K12 G16 K2 W4 K2 G16 K12 B16 K2 B/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Forbes LC","G#004c00; B#00004c; K#000000; W#d0d0d0; ","B/1 K6 B6 K6 G6 K1 W/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Forbes VS","R#c80000; G#004c00; K#000000; Y#ffc800; ","R/1 G16 K8 G3 K4 Y/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Fraser","R#c80000; G#004c00; B#000064; ","B/16 R1 B1 R1 G12 R16 G2 R16 G12 B12 R1 B/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Fraser VS","R#c80000; G#004c00; B#000064; W#d0d0d0; ","W/1 R12 G6 R1 B6 R/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Gordon","G#004c00; B#00004c; K#000000; Y#ffc800; ","B/12 K2 B2 K2 B2 K12 G12 Y2 G12 K12 B11 K2 B/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Gordon VS","G#004c00; B#00004c; K#000000; Y#ffff00; ","B/28 K1 B1 K1 B3 K12 G24 Y1 G1 Y2 G1 Y1 G24 K12 B18 K1 B/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Gow","R#c80000; G#004c00; B#00004c; ","R/4 G4 R1 B4 R/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Graham W","G#004c00; B#5a3094; K#000000; W#d0d0d0; ","K/3 B14 K17 G4 W2 G/21","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Graham of Menteith","G#004c00; B#000064; K#000000; W#d0d0d0; ","K1 B12 K12 G1 W2 G8","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Graham of Montrose","G#004c00; B#00004c; K#000000; W#d0d0d0; ","K/1 B4 K4 G4 W1 G4 K/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Grant","R#c80000; G#004c00; B#00004c; W#d0d0d0; ","R/6 B1 R2 B2 R32 W1 R2 B8 R2 B2 R2 G24 R2 B2 R/6","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Grant D","R#c80000; G#006400; B#000064; W#d0d0d0; ","R/6 B2 R2 B2 R24 W2 R2 B6 R2 G2 R2 G20 R2 B2 R/6","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Grant VS","R#c80000; G#004c00; B#00004c; ","R/4 B2 R2 B2 R56 B16 R4 G1 R4 G36 R3 G1 R/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Grant of Monymusk","R#c80000; G#004c00; B#000064; ","R/12 G3 R12 B8 R5 B8 R4 G14 R4 G14 R4 G14 R/12","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Gunn","R#c80000; G#004c00; B#000064; K#000000; ","R/2 G12 K12 G1 B12 G/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Gunn VS","R#c80000; G#004c00; K#000000; ","R/2 G30 K16 G2 K16 G/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Hamilton","R#c80000; B#00004c; W#d0d0d0; ","W/1 R9 B6 R1 B/6","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Hay","R#c80000; G#004c00; Y#ffc800; W#d0d0d0; K#000000; ","W/6 R2 K1 R2 G4 R48 G12 R2 G2 R2 G36 Y2 G4 R/6","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Hay and Leith","R#c80000; G#004c00; B#5a3094; K#000000; W#d0d0d0; Y#ffc800; ","K/3 R1 Y1 K2 R16 G2 R1 Y1 R2 G15 W1 K15 R1 B15 R2 Y1 R1 B2 R16 K2 Y1 R1 K/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Henderson","K#000000; W#d0d0d0; G#004c00; B#00004c; Y#ffc800; ","Y/1 K6 G4 K1 G16 B1 G4 B6 W/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Home","R#c80000; G#004c00; B#00005c; K#000000; ","B/3 G2 B24 K8 R1 K2 R1 K/28","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Hunter","R#c80000; G#004c00; B#00004c; K#000000; W#d0d0d0; ","G/8 K1 G8 K8 R1 B8 W1 B8 R1 K/8","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Huntly Old","R#c80000; G#004c00; H#5a3094; K#000000; W#d0d0d0; ","H/16 W2 R7 W2 K14 W8 H15 W2 G17 W6 G6 R8 K6 R8 K/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Innes","R#c80000; G#004c00; B#00004c; W#d0d0d0; Y#ffc800; K#000000; ","W/7 K24 R4 K4 R4 K4 R24 Y4 R6 B12 R6 K4 G20 K4 R6 W/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Innes D","R#c80000; G#004c00; B#000054; K#000000; W#d0d0d0; Y#ffc800; ","W/3 K12 R2 K2 R2 K2 R12 Y2 R3 B6 R3 K2 G10 K2 R3 W/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Johnston","G#004c00; B#000064; K#000000; Y#ffc800; ","Y/3 G2 K1 G30 B24 K2 B2 K/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Keith and Austin","G#004c00; B#000064; K#000000; ","K/2 G9 B4 K4 B/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Kennedy","B#00004c; K#000000; W#d0d0d0; G#004c00; R#c80000; Y#ffc800; ","R/2 G23 B4 K3 B3 K3 B3 K3 B4 G13 R1 G2 R1 G3 Y1 G2 B/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Kerr","G#004c00; K#000000; R#c80000; ","K/4 R2 K1 R28 K14 G3 K1 G2 K1 G/20","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Kerr Hunting","G#004c00; B#000064; K#000000; ","K/4 B2 K1 B28 K14 G3 K1 G2 K1 G/20","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Kincaid","R#c80000; G#004c00; K#000000; ","K/11 G17 R/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Kincardine Tweed","B#0000c8; G#00c800; R#c80000; N#9b7a0b; O#8b4513; ","B/4 N15 R1 N/30 // G/4 O15 R1 O/30","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Lamont","G#004c00; B#000064; K#000000; W#d0d0d0; ","B/3 K1 B1 K1 B1 K4 G4 W1 G4 K4 B4 K1 B/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Leslie Dress","R#c80000; B#000064; K#000000; Y#ffc800; ","B/1 R32 B16 R4 K6 Y1 K6 R/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Leslie Hunting","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; ","R/2 B8 K8 W1 G8 K/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Lindsay","C#8b4513; B#00004c; G#004c00; ","C/3 B2 C24 B8 G2 B2 G2 B2 G/20","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Lindsay Red","R#c80000; B#000064; G#004c00; ","R/3 B2 R24 B8 G2 B2 G2 B2 G/20","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Livingston","R#c80000; G#004c00; K#000000; ","R/8 G2 R20 G16 R4 K1 R3 K1 R3 G/12","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Lochaber District","B#3c779d; G#2d783e; K#000000; R#c80000; ","B/2 G1 B16 R1 K12 G16 R1 G/2","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Logan and MacLennan","R#c80000; G#004c00; B#000080; K#000000; Y#ffff00; ","Y/2 G1 R1 G16 K12 B16 R2 B2 R2 B3 R/6","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacAlister","R#c80000; G#004c00; B#00004c; W#d0d0d0; ","R/8 W1 G2 R2 W1 R1 W1 R1 W1 R2 G3 R1 W1 R6 W1 R1 G12 R1 W1 R16 W1 R1 G12 R1 W1 R6 W1 R1 B4 R1 W1 R2 G3 W1 R2 W1 G3 R3 W1 R1 B2 R1 W1 R/8","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacAlister CC","R#c80000; G#004c00; B#000064; W#d0d0d0; ","R/4 W1 R1 G6 R12 W1 R1 G18 R1 W1 R32 W1 R1 G18 R1 W1 R12 B8 R8 G8 R4 G8 R/32","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacAlpine","G#004c00; K#000000; W#d0d0d0; Y#ffff00; ","G1 K4 Y1 K4 G1 K1 G6 K1 G6 K1 G1 K4 W1 K4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacAlpine D","G#004c00; B#00004c; K#000000; W#d0d0d0; Y#ffff00; ","G1 K4 Y1 B4 G1 B1 G6 K1 G6 K1 G1 K4 W1 K4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacArthur","G#004c00; K#000000; Y#ffff00; ","Y/3 G30 K12 G6 K/32","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacAulay","R#c80000; G#004c00; K#000000; W#d0d0d0; ","K/2 R16 G6 R3 G8 W/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacAulay Hunting","R#c80000; G#004c00; K#000000; W#d0d0d0; ","R/2 G12 K4 G8 K16 W1 K16 G/6","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacBain","R#c80000; P#ff0000; G#004c00; K#000000; W#d0d0d0; Y#c0c0c0; ","R/60 Y2 W5 K2 Y2 K2 W5 Y2 K2 G12 K2 W2 R5 P5 G2 P5 R5 W2 K2 G/6","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacBean","R#c80000; P#ff0000; G#004c00; B#00004c; W#d0d0d0; Y#c0c0c0; K#000000; ","R/24 Y1 B2 W1 Y1 W1 B2 Y1 K1 G6 K1 Y1 R2 P2 G1 P2 R2 Y1 G/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacBeth","R#c80000; G#004c00; B#00004c; K#000000; W#d0d0d0; Y#ffff00; ","B/36 Y4 K6 W1 K1 W1 K1 G8 R6 K1 R3 W/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacCallum","G#004c00; B#00004c; K#000000; W#d0d0d0; ","K/1 B6 K6 G4 W1 K2 G/8","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacCallum W","R#c80000; G#004c00; B#00004c; K#000000; ","K/1 B6 K6 G6 R1 G6 K/6","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacColl","R#c80000; G#004c00; B#000064; ","G/4 R1 G1 R12 B1 R1 B3 R1 B1 R2 G8 R1 B1 R/12","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacDonald","R#c80000; G#004c00; B#000064; K#000000; ","G/8 R1 G2 R3 G12 K12 R1 B12 R3 B2 R1 B/8","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacDonald Lord of the Isles","G#004c00; R#c80000; ","R/38 G2 R5 G/16","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacDonald Lord of the Isles Hunting","G#004c00; B#00005b; W#d0d0d0; ","G/24 W1 G2 W2 B2 W1 B12 W1 B2 W2 B2 W1 B/12","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacDonald of Clanranald","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; ","G/8 R1 G2 R3 G12 W1 K12 R1 B12 R3 B2 R1 B/8","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","MacDonald of Clanranald D","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; ","G/6 R2 G2 R3 G12 W2 K10 R2 B12 R3 B2 R2 B/6","","","","2016/10/31 08:48:45"
