"Source","Source ID","Category","Name","Palette","Threadcount","Overview","Comment","Copyright","Update date"
"House of Tartan","24","District","Glen Lyon or Mull (No.53) District Tartan","A#5c8ca8 AZURE; K#101010 BLACK; G#006818 GREEN; ","A/4 G6 K/10","Tartan Number: 24. Earliest known date: 1820","Appears to be No 185 in Wilson's '1819'","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:38"
"House of Tartan","26","Corporate","Round Table Corporate Tartan","A#5c8ca8 AZURE; K#101010 BLACK; B#2c2c80 BLUE; DB#202060 DARK BLUE; W#e0e0e0 WHITE; ","A/22 DB4 A22 K4 DB4 A10 W4 A10 W4 A10 DB20 A2 B4 A2 DB20 K8 A10 K4 A10 K8 DB4 A4 DB4 A22 B4 A/2","Tartan Number: 26. Earliest known date: 1983","Previously marked 'Unidentified' in Sindex.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:38"
"House of Tartan","27","Trade","Bannockbane Trade Tartan","B#2c2c80 BLUE; LB#2888c4 LIGHT BLUE; W#e0e0e0 WHITE; ","B/4 LB4 B30 LB2 W20 LB30 B4 LB/4","Tartan Number: 27. Earliest known date: 1984","A fashion pattern originating the early 1970s. Other variants of the design including this one appeared up to 1984. No place or family of the name is known and the pattern has no association with Bannockburn, or famous battle of 1314. Donald Broun may have been a designer with Edinburgh Woollen Mills.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:39"
"House of Tartan","29","Corporate","William Murdoch (Scottish Gas) Corporate Tartan","A#5c8ca8 AZURE; B#2c2c80 BLUE; LB#2888c4 LIGHT BLUE; NB#003c64 NAVY BLUE; ","LB/22 NB4 LB8 NB4 LB8 NB22 B22 NB4 A8 NB4 B22 NB22 LB22 NB4 LB/8","Tartan Number: 29. Earliest known date: 1985","Permission required from Scottish Gas to reveal thread count.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:39"
"House of Tartan","33","District","Lochaber Old.. District Tartan","A#5c8ca8 AZURE; B#2c2c80 BLUE; R#c80000 RED; ","B/8 A4 B64 R4 B140 R4 B/12","Tartan Number: 33. Earliest known date: 1797","J.Telfer Dunbar Collection. Lochaber is the home of Clan Cameron and a portion of the Clanranald MacDonalds. The former military Fort William is now the population centre of the district on the West coast of Scotland. This is one of several recorded old authentic patterns from the Lochaber district.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:39"
"House of Tartan","36","Family","MacDonald of Dunyveg Family Tartan","K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; P#780078 PURPLE; R#c80000 RED; ","B/20 P4 B6 R8 B28 R4 K28 G28 R8 G6 P4 G/20","Tartan Number: 36. Earliest known date: 1992","Designed by Captain V.J. MacDonald-Evans for himself and future Lairds of Denovan, regardless of their name. In 2009 Lord Denovan removed the restriction, to allow all Denovan's to wear it with the tartan to be called simply Denovan (rather than Lairds of Denovan). In 2010 Lord Denovan further suggested this tartan for all of the MacDonald's of Dunyveg.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:39"
"House of Tartan","43","Family","Cian Clan Irish Family Tartan","T#604000 BROWN; DB#202060 DARK BLUE; LB#2888c4 LIGHT BLUE; LP#b468ac MAUVE; SCR#a81038 SCARLET; SB#a8ace8 SKY BLUE; ","SB/38 DB2 LB2 SB19 DB8 SCR18 LP8 SB18 LB18 DB2 T/4","Tartan Number: 43. Earliest known date: 2003","STS previously labelled 'unidentified'. Actual count reduced 50% prop.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:39"
"House of Tartan","45","District","St Andrews Dress, Earl of.. District Tartan","A#5c8ca8 AZURE; B#2c2c80 BLUE; DB#202060 DARK BLUE; LV#c49cd8 LGT VIOLET; W#e0e0e0 WHITE; ","B/14 LV4 DB4 W8 B38 A38 W/56","Tartan Number: 45. Earliest known date: pre 2003","","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:39"
"House of Tartan","46","Clan","Wallace Blue Clan Tartan","A#5c8ca8 AZURE; B#2c2c80 BLUE; G#006818 GREEN; W#e0e0e0 WHITE; ","A/4 B58 A24 G58 W/4","Tartan Number: 46. Earliest known date: pre 2003","The design is based on the sett from the Vestiarium Scoticum (1842).","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:39"
"House of Tartan","47","Family","Cian Clan Irish Family Tartan","AB#508cb8 Ancient blue; DB#184068 dark blue; LSB#a0c0dc LIGHT SKY; MR#b04060 CARMINE; DCR#b04040 DARK CRIMSON; LY#e0dc00 YELLOW BASIC; Y#d0ac00 MID YELLOW; RR#b03444 MAROON; DY#b08838 DARK GOLD; ","AB/31 DB4 LSB4 AB20 DB8 Y16 DCR8 AB14 LSB4 DB4 LY/4","Tartan Number: 47. Earliest known date: 1983","Registered with the Chief Herald of Ireland in 1983. Normally woven in ancient colours. Registered with TECA 01 July 1992 by Eli F.J. O'Carroll, chief of Clan Cian of Ely, Stockton, CA, USA.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:39"
"House of Tartan","48","Family","Brooke Irish Family Tartan","A#5c8ca8 AZURE; K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; R#c80000 RED; W#e0e0e0 WHITE; Y#e8c000 YELLOW; ","B/2 A2 B2 K16 G20 K16 R2 W2 Y/2","Tartan Number: 48. Earliest known date: 17th C.","This sett is based on colour information only. The pattern was devised by historian, Angela Nisbett, to give some impression of this rare example of an Irish tartan.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:40"
"House of Tartan","51","Clan","Moray of Abercairney Clan Tartan","K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; LB#2888c4 LIGHT BLUE; R#c80000 RED; LR#d05054 ROSE; ","B/12 LB4 K4 R48 LR4 G36 R4 LB4 B/12","Tartan Number: 51. Earliest known date: 1735","The sett is derived from the portrait of James, 14th Laird, painted about 1735. Historians have made different interpretations of the tartan. The tartan is similar to other Perthshire setts but not to the Clan Murray tartan.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:40"
"House of Tartan","54","Trade","Stewart Blue Trade Tartan","A#5c8ca8 AZURE; K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; R#c80000 RED; Y#e8c000 YELLOW; ","A/58 B6 K20 Y4 K4 A4 K4 G20 R10 K6 R4 A/4","Tartan Number: 54. Earliest known date: 1956","Weft is slightly different. Commenting on the design, Mr Portch said, ""The sett should be exactly the same as Royal Stewart with light Scottish blue replacing the red ground and white over checking."" It is not entirely clear if Mr Portch has developed a 'trade variant' or is explaining his view of the 'correct form' of the Blue Stewart.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:40"
"House of Tartan","56","Clan","MacIntyre Hunting Clan Tartan","A#5c8ca8 AZURE; K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; ","A/6 B24 K24 G24 K4 G24 K/24","Tartan Number: 56. Earliest known date: 1930-50","This sample comes from the MacGregor-Hastie collection which forms the basis of the cloth archive of the Scottish Tartans Society. Some of the samples, including this one, were unmarked. One can assume that the sample dates between 1930 and 1950.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:40"
"House of Tartan","57","Clan","MacLean of Duart Clan Tartan","A#5c8ca8 AZURE; K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; R#c80000 RED; W#e0e0e0 WHITE; Y#e8c000 YELLOW; ","B/8 A2 K6 Y2 K2 W2 K2 G16 R24 A2 R4 K/2","Tartan Number: 57. Earliest known date: 1810-15","The pattern is recorded by W and A Smith in 1850 and by Grant in 1886. Logan (1831) gives a variation with a single azure stripe, but the earlier sample in the Cockburn Collection (1810-15) indicates that in this instance, Logan was wrong. There is a curious mathematical similarity with the Royal Stewart tartan in which the number of threads and the colours have been reversed. It suggests a common origin in design. Branches of the clan include the MacLaines of Lochbuie who often disputed the right to the chiefship. Colonel Sir Fitzroy MacLean, 10th Baronet and 26th Chief, acquired Duart castle in 1911. He died aged 100 having restored the family seat to its former glory. Worn by the Polkemmet pipe band, the Ayr pipe band, East Kilbride pipe band and the Cupar & District pipe band.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:40"
"House of Tartan","59","Clan","MacLean Dress Burgundy Clan Tartan","A#5c8ca8 AZURE; K#101010 BLACK; B#2c2c80 BLUE; SCR#a00048 CRIMSON; W#e0e0e0 WHITE; Y#e8c000 YELLOW; ","A/24 B4 K8 Y4 K6 SCR6 K6 SCR38 W62 B4 W8 K/4","Tartan Number: 59. Earliest known date: pre 2003","Dress form of MacLean of Duart. Count taken from a sample in Reproduction colours","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:40"
"House of Tartan","60","Corporate","New York Firemen's Pipe Band Corporate Tartan","A#5c8ca8 AZURE; K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; W#e0e0e0 WHITE; ","A/10 B40 K36 G42 W3 K/14","Tartan Number: 60. Earliest known date: 1964","Nothing","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:40"
"House of Tartan","61","Clan","MacLean of Kingairloch Clan Tartan","A#5c8ca8 AZURE; K#101010 BLACK; B#2c2c80 BLUE; T#604000 BROWN; G#006818 GREEN; W#e0e0e0 WHITE; Y#e8c000 YELLOW; ","B/16 A2 K12 Y2 K4 W4 K4 G24 T56 W2 T/8","Tartan Number: 61. Earliest known date: pre 2003","Reproduction.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:40"
"House of Tartan","73","Clan","Stewart of Ardshiel Clan Tartan","A#5c8ca8 AZURE; G#006818 GREEN; NB#003c64 NAVY BLUE; R#c80000 RED; LR#d05054 ROSE; ","A/4 NB2 LR2 R12 G66 R4 NB2 A2 R6 NB34 R6 A2 NB2 R65 NB3 LR2 R6 G/14","Tartan Number: 73. Earliest known date: 1822","There are minor differences between the warp and weft in the blue not shown in the illustration. This is the earliest record of a Stewart of Ardshiel tartan. It differs from the Stewart of Appin in that the Red is interchanged with the blue. Ardshiel is part of Appin and it may be a variation on a sett common to the area. Stewarts of Ardshiel are regarded as a sept of the Appin branch.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:41"
"House of Tartan","74","Family","Couper Family Tartan","K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; LV#c49cd8 LGT VIOLET; R#c80000 RED; ","B/4 LV8 R4 G48 B8 G4 B8 K20 LV8 B4 LV8 G16 B2 K2 B44 LV8 B4 R/4","Tartan Number: 74. Earliest known date: 1886","The tartan was originally woven by Messrs Peter MacArthur of Hamilton, for the family of Couper of Gogar. Mr MacArthur said his records went back about 80 years for it, and that it was copied at the time from an old shawl or 'maud', so it is likely to be over 100 years old.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:41"
"House of Tartan","75","Dress","Cooper Dress Tartan","K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; LV#c49cd8 LGT VIOLET; R#c80000 RED; W#e0e0e0 WHITE; ","B/4 LV8 R4 W52 B6 W4 B6 K20 LV6 B4 LV6 G18 B2 K2 B42 LV6 B4 R/4","Tartan Number: 75. Earliest known date: 1970-80 Modern","White replaces green in this dress version of the Couper of Gogar family tartan. The original dates to circa 1886 when it was woven for the Gogar branch of the family by Peter MacArthur and Company in Hamilton. The dress version has been produced more recently. The Coupers of Gogar are also Baronets of Nova Scotia (1638).","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:41"
"House of Tartan","79","Artifact","MacDonald of Glenaladale Artifact Tartan","A#5c8ca8 AZURE; B#2c2c80 BLUE; G#006818 GREEN; R#c80000 RED; W#e0e0e0 WHITE; ","B/3 A1 R30 B32 R3 W1 R3 G23 R31 B3 W/1","Tartan Number: 79. Earliest known date: c.1745","Said to have belonged to Alexander MacDonald of Glenaladale at the time of Culloden, and shipped out to Canada when he and his son emigrated in 1772.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:41"
"House of Tartan","81","Regimental","Edzell U.S. Navy Regimental Tartan","B#2c2c80 BLUE; DB#202060 DARK BLUE; R#c80000 RED; W#e0e0e0 WHITE; ","DB/104 B16 W8 B66 R3 B/16","Tartan Number: 81. Earliest known date: pre 2003","Designed by Mr Arthur MacKie","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:41"
"House of Tartan","82","","S.C.O.T.S. U.S.A. Tartan","B#2c2c80 BLUE; DB#202060 DARK BLUE; S#c8002c SCARLET; W#e0e0e0 WHITE; ","B/110 DB36 W6 DB4 S4 DB/12","Tartan Number: 82. Earliest known date: 1988","S = Scarlet. Based on the Earl of St Andrews tartan. S.C.O.T.S. is a U.S. nationwide network of travel agents promoting tourism in Scotland.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:41"
"House of Tartan","83","Corporate","Federal Bureaux (FBI) Corporate Tartan","A#5c8ca8 AZURE; B#2c2c80 BLUE; R#c80000 RED; W#e0e0e0 WHITE; ","A/120 B38 W6 B4 R4 B/14","Tartan Number: 83. Earliest known date: 1989","Discovered (in 1991) to be the same as a previously accredited tartan, ""S.C.O.T.S."" designed by Kinloch Anderson in 1988. Twenty kilts have been produced for the F.B.I. pipe band.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:41"
"House of Tartan","85","","St Andrews Earl of Royal family Tartan","B#2c2c80 BLUE; AB#2888c4 LIGHT BLUE; W#e0e0e0 WHITE; ","AB/104 B56 W6 B4 W4 B/20","Tartan Number: 85. Earliest known date: c.1930","Count taken from a 'MacKinlay Strip'. Prince George is reputed to have worn this tartan at a Scottish Society dinner in 1919 and kept everyone guessing the name of the tartan. However, MacKinlay's record shows the design dating to 1930. No further details can be found. The sett has much in common with the Clan Donald. Royal titles of territorial origin provide a precedent for considering tartans of the name, District tartans.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:41"
"House of Tartan","88","District","Longniddry Dress District Tartan","B#2c2c80 BLUE; LB#2888c4 LIGHT BLUE; P#780078 PURPLE; W#e0e0e0 WHITE; ","P/84 B4 W4 B4 P10 LB24 W64 P/8","Tartan Number: 88. Earliest known date: pre 2003","A dancers tartan from D.C. Dalgleish weavers of Selkirk","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:41"
"House of Tartan","89","Trade","Scotia Trade Tartan","T#604000 BROWN; DB#202060 DARK BLUE; G#006818 GREEN; LB#2888c4 LIGHT BLUE; P#780078 PURPLE; W#e0e0e0 WHITE; ","LB/6 DB6 W4 T16 DB6 LB22 P14 G/6","Tartan Number: 89. Earliest known date: 1968","Originally designed by James Allan of East Kilbride and woven by him in 1850. The sett was reconstructed by David Easton, Galashiels, as a National tartan for Scotland. It did not catch on and the tartan is rarely seen today.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:42"
"House of Tartan","91","Commemorative","American Bicentennial Commemorative Tartan","A#5c8ca8 AZURE; K#101010 BLACK; B#2c2c80 BLUE; R#c80000 RED; W#e0e0e0 WHITE; ","B/28 A4 W4 A4 B40 K40 R34 W8 R6 W6 R6 W6 R/10","Tartan Number: 91. Earliest known date: 1975","From an idea put forward by Mr J.C.Thomson in 1974, to have an identifying tartan for American St Andrews and Caledonian Societies'. Where the lighter stripes cross each other in the dark blue, there is an effect of the Stars of the American flag. The thirteen alternate red and white stripes appear in the full sett of the tartan.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:42"
"House of Tartan","92","Clan","Ferguson Dress Clan Tartan","A#588ca8 AZURE; DB#202060 DARK BLUE; G#006818 GREEN; R#c80000 RED; W#e0e0e0 WHITE; DR#880000 DARK RED; HSB#048888 HSA BLUE; ","A/68 DB48 W36 DR6 W36 G4 W/6","Tartan Number: 92. Earliest known date: 1980","See also 371 where the dark blue is changed to black. These are problably one and the same tartan. Dark blue being the correct colour.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:42"
"House of Tartan","93","Canadian","Lions Canadian Tartan","A#5c8ca8 AZURE; K#101010 BLACK; P#780078 PURPLE; W#e0e0e0 WHITE; Y#e8c000 YELLOW; ","P/50 A2 W2 K2 Y2 P6 W2 Y10 P8 K2 A4 P4 W2 A2 W2 P4 A4 P4 K4 W/10","Tartan Number: 93. Earliest known date: pre 2003","This is the official Canadian General File thread count. The Scottish Tartans Society cloth archive specimen differs slightly in the precise numbers of threads used to weave the sample.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:42"
"House of Tartan","94","Clan","MacPherson Dress (purple) Clan Tartan","A#5c8ca8 AZURE; K#101010 BLACK; P#780078 PURPLE; W#e0e0e0 WHITE; ","W/10 K6 W62 P52 W8 P20 A/8","Tartan Number: 94. Earliest known date: c 1980","There are a great number of variations of the Dress MacPherson, many of them modern trade designs which are popular with country dancers. Hugh Macpherson of Edinburgh, kiltmaker and tartan designer some decades ago, supplied samples of these to the Scottish Tartan Society around 1980.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:42"
"House of Tartan","96","District","Fredericton District Tartan","A#5c8ca8 AZURE; G#006818 GREEN; P#780078 PURPLE; R#c80000 RED; W#e0e0e0 WHITE; Y#e8c000 YELLOW; ","P/6 A2 W18 R12 G10 A4 W4 A4 W4 A4 G24 Y/4","Tartan Number: 96. Earliest known date: 1967","Fredericton, capital city of New Brunswick, takes its name from Prince Frederick, the second son of King George III. The tartan was designed and woven by the Loomcrofters of Frederickton who weave in their own homes on their own looms. (From 'District Tartans', G. Teall and P. Smith, 1992)","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:42"
"House of Tartan","98","Corporate","Holyrood Corporate Tartan","B#2c2c80 BLUE; DB#202060 DARK BLUE; G#006818 GREEN; T#480800 UMBER; W#e0e0e0 WHITE; Y#e8c000 YELLOW; ","DB/108 B28 Y6 B6 W6 B6 G18 T14 B4 T18 W/4","Tartan Number: 98. Earliest known date: 1980","Holyrood is the Scottish equivalent of Buckingham Palace, the Queens official residence in Scotland. She is guarded by 'The Royal Company of Archers', a non military force provided by the chiefs of the clans. A sample of the Holyrood tartan was presented to the Scottish Tartans Society by Lochcarron Weavers in 1980.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:42"
"House of Tartan","103","Family","Montmorency Family Tartan","B#2c2c80 BLUE; T#604000 BROWN; G#006818 GREEN; ","B/6 G4 B28 G28 T30 G8 T30 G28 B4 G4 B6 G4 B/42","Tartan Number: 103. Earliest known date: pre 2003","Canadian fancy. Presented by Mrs K Sinclair","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:42"
"House of Tartan","104","Clan","Baird Clan Tartan","K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; P#780078 PURPLE; ","P/6 G2 P2 G16 K16 B16 K4 B/6","Tartan Number: 104. Earliest known date: 1906","This tartan is first recorded in Johnston's work of 1906, and the sample from the Highland Society of London probably dates from the same period. In both these early references the triple stripes are rendered in red. Today, however, they are generally woven in purple. The name originates from 'bard' meaning poet. The Bairds owned estates in Aberdeenshire which were later purchased by the Gordons.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:42"
"House of Tartan","106","Clan","Bean Hunting Clan Tartan","DB#202060 DARK BLUE; DG#003820 DARK GREEN; RB#1c0070 ROYAL BLUE; S#c8002c SCARLET; ","RB/6 DG41 DB20 S15 DG41 S15 DB/6","Tartan Number: 106. Earliest known date: 1987","The weaving and wearing of this tartan is 'Restricted'. This is not a legal definition and is applied by the Scottish Tartans Society irrespective of Design Patent or Copyright, in the spirit of a gentlemans agreement. Interested parties should contact the person listed under 'Source:' in this document.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:43"
"House of Tartan","108","Trade","Loch Leven Check Trade Tartan","A#5c8ca8 AZURE; B#2c2c80 BLUE; G#006818 GREEN; W#e0e0e0 WHITE; ","B/4 G26 B22 A8 W18 B/4","Tartan Number: 108. Earliest known date: 1976","Sample presented by Clan Crest Textiles Ltd in 1976.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:43"
"House of Tartan","109","International","Justus International Tartan","G#006818 GREEN; P#780078 PURPLE; W#e0e0e0 WHITE; Y#e8c000 YELLOW; ","P/12 G6 P6 W6 P6 Y6 P/12","Tartan Number: 109. Earliest known date: pre 2003","Y = Saffron. Seen at Grandfather Mountain Games by Bob Martin in 1981 or 1982","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:43"
"House of Tartan","115","Clan","Elphinstone Clan Tartan","G#006818 GREEN; P#780078 PURPLE; ","P/20 G6 P20 G/56","Tartan Number: 115. Earliest known date: 1842","The village of Elphinstone is next to Tranent near Edinburgh in East Lothian. Sir Henry Elphinstone of Pittendriech in Midlothian was created Baron Elphinstone in 1509 and fell at Flodden Field. The Elphinstone tartan first appeared in the text of the Vestiarium Scoticum (1842). It is similar to some extent with the Montgomerie tartan and to the Montgomerie Hunting sett, suggesting a link to an early provenance. D.W. Stewart (1893) maintained that he could date the Montgomerie of Eglinton to 1707.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:43"
"House of Tartan","120","Corporate","Mounth The.. Corporate Tartan","B#2c2c80 BLUE; DG#003820 DARK GREEN; N#888888 GREY; LG#289c18 LIGHT GREEN; RR#901c38 MARROON; W#e0e0e0 WHITE; SB#a8ace8 SKY BLUE; ","RR/4 LG26 SB24 W6 SB20 W6 DG24 N26 DG/4","Tartan Number: 120. Earliest known date: 1988","Designed for Kincardine & Deeside branch of the National Trust for Scotland. Blue is a muted sky blue. Green is a dark pine green.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:43"
"House of Tartan","125","Clan","Hume or Home Clan Tartan","K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; R#c80000 RED; ","B/6 G6 B40 R4 K4 R4 K40 G6 K/6","Tartan Number: 125. Earliest known date: pre 2003","Alternate spelling for Home.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:43"
