"Origin ID","Name","Alternative Name","Description","Category","Source","Origin URL"
"38","MacPhail","MacPhail Clan Tartan WR1031","This sample comes from the MacGregor-Hastie collection which forms the basis of the cloth archive of the Scottish Tartans Society. Some of the samples, including this one, were unmarked. One can assume that the sample dates between 1930 and 1950.","Other","The source of tartan 1031 was: MacGregor-Hastie Collection","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=38.htm"
"39","Douglas (Green)","Douglas (Green) WR1032","Wilson's sent a list of tartans to Logan about 1830 stating that 'No 148' had been sold as Douglas for a 'considerable' time. Logan included the Douglas tartan even though he said that no family tartans appeared in his book. The distinction between clans and families is obscure. There are many historic references to the 'Border Clans' which would certainly describe the Douglas'. This often called the green Douglas.There is also a black and grey sett the latter is found in the Vestiarium Scoticum in 1842. In military dark shade this tartan is used by the Gurkhas","Other","The source of tartan 1032 was: Logan","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=39.htm"
"40","Wilson's No. 148","Wilson's No. 148 WR1033","Logan's Douglas.","Other","The source of tartan 1033 was: Wilson's of Bannockburn.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=40.htm"
"41","Wilson's No. 176","Wilson's No. 176 WR1034","The pattern books of the old firm of weavers, Wilson's of Bannockburn, provide a reliable early source for this tartan. Wilson's were in business with a monopoly to supply tartan to the regiments in the second half of the 18th century before this pattern was recorded.","Other","The source of tartan 1034 was: Wilson's of Bannockburn.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=41.htm"
"42","Turnbull dress","Turnbull dress 1035","An unusual dress tartan having no white. This has the same geometry as a Douglas tartan and in ""Tartans"" William H.Johnston & Philip D.Smith jr is named as Douglas of Roxburgh.","Dress","Lochcarron of Scotland","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=42.htm"
"43","Wilson's No. 167","Wilson's No. 167 WR1036","The source of tartan 1036 was: Wilson's of Bannockburn.","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=43.htm"
"44","Scott (Sir Walter Scott)","Scott Sir Walter Scott Clan/Family Tartan WR1037","MacGregor-Hastie Collection","Other","The source of tartan 1037 was: Wilson's of Bannockburn.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=44.htm"
"45","Campbell of Lochawe","Campbell of Lochawe Clan Tartan WR1038","The source for tartan 1038 was: MacKinlay","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=45.htm"
"46","Strathspey","Strathspey District WR1039","From the back of a waistcoat of a Strathspey Fencible 1794-5. The design, which is a variation of the Black Watch may be attributed to General James Grant of Ballindalloch who raised the fencible unit and whose clan already used the Black Watch as a hunting sett. The Strathspey tartan is now produced as a District tartan and is, since 1984, used by the Royal Country Dance Association.","Other","The source of tartan 1039 was: MacGregor-Hastie Collection","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=46.htm"
"47","Baird","Baird Clan Tartan WR104","This tartan is first recorded in Johnston's work of 1906, and the sample from the Highland Society of London probably dates from the same period. In both these early references the triple stripes are rendered in red. Today, however, they are generally woven in purple. The name originates from 'bard' meaning poet. The Bairds owned estates in Aberdeenshire which were later purchased by the Gordons.","Other","The source of tartan 104 was: W. A. K. Johnston","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=47.htm"
"48","Unnamed","Unnamed No. 63 Tartan WR1040","This sett is taken from the records of Messrs Bolingbroke and Jones of Norwich, who were weavers around 1870. Some of the tartans have been adopted or modified in recent times as the copyright of the designs is now in the public domain.","Other","The source of tartan 1040 was: Norwich Collection.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=48.htm"
"49","Dundas","Dundas Clan Tartan WR1041","The Dundas tartan originated in the Vestiarium Scoticum (1842). The design has the traditional green, black, blue background of the Highland military tartans with twin red stripes on the green. Dundas's played an important role in restoring the Highland way of life after the penalties imposed as a result of the '45 rebellion. It was Henry Dundas, who in 1784, introduced the bill to parliament restoring estates forfeited to the Crown after the uprising, following the repeal on the wearing of tartan in 1782","Other","The source of tartan 1041 was: Vestiarium Scoticum","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=49.htm"
"50","MacCallum","MacCallum Tartan WR1042","The Setts No: 105. Wilson's of Bannockburn produced this pattern in a variety of colours. Wilson called the pattern No. 64 or 'Abercrombie'.","Other","The source of tartan 1042 was: Innes No 51","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=50.htm"
"51","Wilson's No. 64 or Abercrombie","Wilson's No. 64 or Abercrombie WR1043","The source of tartan 1043 was: Wilson's of Bannockburn.","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=51.htm"
"52","Graham of Montrose","Graham of Montrose Clan Tartan WR1044","This sett was woven by Wilson's of Bannockburn around 1819. Wilson called it the No. 64 or 'Abercrombie' pattern, and produced it in various colours. In yellow it becomes the Breadalbane and in red, the MacCallum. The white striped Graham tartan is also known as MacLaggan. It is worn unofficially by 205 (sc) General Hospital RAMCV. There is a sample dating from 1815, labelled 'Graham', in the Cockburn Collection. It was first published in the Smith's book of 1850. See also Montrose, Menteith.","Other","The source of tartan 1044 was: Cockburn Collection.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=52.htm"
"53","MacLaggan","MacLaggan Artifact Tartan WR1045","The source of tartan 1045 was: Inverary Castle","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=53.htm"
"54","Campbell of Breadalbane","Campbell of Breadalbane Clan Tartan WR1046","The earliest reference to this pattern is called simply, Breadalbane. W. and A. Smith (1850) were the first to illustrate the sett in its present form. Wilson's of Bannockburn produced this pattern, the No. 64 or 'Abercrombie' in a variety of colours. (See Graham, MacCallum, Rollo.)","Other","The source of tartan 1046 was: Cockburn Collection.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=54.htm"
"55","MacKay","MacKay Coat Artifact Tartan WR1047","Worn in the late 18thC","Other","The source of tartan 1047 was: Inverness museum.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=55.htm"
"56","Abercrombie","Abercrombie (Wilson's No. 64) Family Tartan WR1043","Well known as 'No. 2/64 or Aberc'by' from the pattern books of Wilson's of Bannockburn. This sett was supplied to Logan in preparation for the publication of his book 'The Scottish Gael', but Logan used a different sett. Wilson says that the tartan is named after Sir Ralph Abercrombie at the beginning of the 19th century.","Other","The source of tartan 1048 was: Wilson's of Bannockburn.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=56.htm"
"57","Skene","Skene Clan Tartan WR1049","This appears to be the design MacIan reproduced in his drawing for 'The Costume of the Clans of the Scottish Highlands' (1845-47).","Other","The source of tartan 1049 was: Logan. MacIntyre North.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=57.htm"
"58","Malcolm","Malcolm Clan Tartan WR105","This symmetrical version appears to follow the count given by Wilson in the 1847 pattern books, except for the change of one of the pairs of red lines to green.","Other","The source of tartan 105 was: Unknown","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=58.htm"
"59","Melville","Melville WR1050","There is a sample in the Moy Hall collection.(1848). This sett, also known as Oliphant and Melville, appears in one of Wilson's notebooks in 1847. It is mentioned in a letter dated June 1824 but without any means of identification. It is also to be found in the Scott Adie (London) collection and in the MacPherson Museum in Newtonmore. Wilson records the second pivot (between the white lines) as blue.","Other","The source of tartan 1050 was: Wilson's of Bannockburn","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=59.htm"
"60","Merchiston","Merchiston Castle School Corporate Tartan WR1051","School colours.","Other","The source of tartan 1051 was: Dgn. Kinloch Anderson","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=60.htm"
"61","MacKay","MacKay Blue.. Clan Tartan WR1052","Erroneous - included from identification purposes only. There appears to be a black stripe missing. The Vestiarium Scoticum version contains four black stripes. The tartan has been manufactured in quantity as evidenced by the sample in the cloth archive of the Scottish Tartans Society dating 1930-50.","Other","The source of tartan 1052 was: STS sample","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=61.htm"
"62","Graham of Menteith","Graham of Menteith (Red) Clan Tartan WR1053","Made to the order of an American customer by Kinloch Anderson of Edinburgh. The sample in the STS archive was obtained in 1983 and was labelled 'Red Montrose'. The sett is the same as the Menteith with the green changed to red. Wilson's of Bannockburn produced a red 'Montrose', similar to the MacNaughton, in 1819.","Other","The source of tartan 1053 was: Kinloch Anderson","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=62.htm"
"63","Unnamed","Unnamed No. 30 Tartan WR1054","This sett is taken from the records of Messrs Bolingbroke and Jones of Norwich, who were weavers around 1870. Some of the tartans have been adopted or modified in recent times as the copyright of the designs is now in the public domain.","Other","The source of tartan 1054 was: Norwich Collection.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=63.htm"
"64","Peter of Lee","Peter of Lee Family Tartan WR1055","Designed by Harry Lindley for E. Leslie Peter. The sett was accredited by the Scottish Tartans Society in 1988.","Other","The source of tartan 1055 was: Dgn. H.G. Lindley","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=64.htm"
"65","Scoepaig","Scoepaig fragment Artifact Tartan WR1056","From a fragment made in Scoepaig, North Uist.","Other","The source of tartan 1056 was: STS collection","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=65.htm"
"66","Unnamed No. 79 Tartan","Unnamed No. 79 Tartan 1057","This sett is taken from the records of Messrs Bolingbroke and Jones of Norwich, who were weavers around 1870. Some of the tartans have been adopted or modified in recent times as the copyright of the designs is now in the public domain.","Other","Norwich Collection.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=66.htm"
"67","Grampian","Grampian T.V. Corporate Tartan WR1058","The source of tartan 1058 was: Not attributed","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=67.htm"
"68","Kennedy","Kennedy 1059","Found in Pendleton Woollen Mill, Oregon's records by William Johnston TECA (c.1978)","Other","Pendleton Woollen Mill, Oregon","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=68.htm"
"69","Bean","Bean Hunting Clan Tartan WR106","Designed and produced for L. L. Bean Inc. of Freeport, Maine U.S.A. to celebrate their 75th anniversary in 1987. Colours represent the MacBain and MacIntosh connections. L. L. Bean are outdoor specialists.","Other","The source of tartan 106 was: Dgn. Kinloch Anderson","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=69.htm"
"70","MacKean","MacKean Green Tartan WR1060","There is no evidence of this having been woven.","Other","The source of tartan 1060 was: Allan McKean, Tauranga, New Zealand","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=70.htm"
"71","Stewart, Black","Stewart, Black 1061","Cant","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=71.htm"
"72","Johnstone","Johnstone Clan Tartan WR1062","This sett appears in Paton's collection. The samples are undated but the collection is known to have been put together around the 1830's, with some additions during the Victorian period.","Other","The source of tartan 1062 was: Paton's collection","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=72.htm"
"73","Johnston","Johnston Clan Tartan WR1063","A powerful Border Clan who pursued a deadly feud with the Maxwells. Their stronghold was Lochwood Tower, near Beattock, which was burned down by the Maxwells in 1593. The tartan was first published in the Vestiarium Scoticum in 1842. Before that time Border tartans were generally un-named. More likely the tartan came from the Aberdeenshire Johnstons, whose family seat is at Caskieben, Blackburn. (Ref: The Setts.. No. 82. D.C.Stewart.)","Other","The source of tartan 1063 was: Vestiarium Scoticum","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=73.htm"
"74","Gordon of Esslemont","Gordon of Esslemont Family Tartan WR1064","This sett is called 'Gordon of Esslemont' according to Captain Wolrige-Gordon of Esslemont in recent research. It was previously listed as 'Ancient Gordon' before the story of its origin came to light. Apparently the Duke of Gordon was offered tartans with one, two, and three stripes when he applied to Forsythe of Huntly to provide kilts for his troops. He chose the single stripe and called in the Heads of the families to choose from the others. Esslemont took the three stripe version.","Other","The source of tartan 1064 was: Paton's collection","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=74.htm"
"75","Teall","Teall of Teallach Family Tartan WR1065","Adopted by the Scottish Tartans Society in recognition of many years service of their late chairman, Dr Gordon Teall.","Other","The source of tartan 1065 was: Dgn. D.C. Dalgleish","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=75.htm"
"76","MacNaughton","MacNaughton Clan Tartan WR1066","James Logan collected information for his book 'The Scottish Gael' between 1826 and 1831. The MacNaughton tartan is also recorded by William and Andrew Smith in their 'Authenticated Tartans of the Clans and Families of Scotland' (1850). Other works contain a commonly reproduced error. The tartan closely resembles the MacDuff, which may bear out the claim that the MacNaughtons were originally a Moray tribe transplanted by Malcolm IV. The MacNaughton tartan is worn by the 'Vale of Athol' pipe band.","Other","The source of tartan 1066 was: Logan","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=76.htm"
"77","Nor Westers","Nor Westers Commemorative Tartan WR1067","The source of tartan 1067 was: Dgn. Evelyn B. Halliday, Ontario","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=77.htm"
"78","Ferguson of Balquhidder","Ferguson of Balquhidder Clan Tartan WR1068","This sample comes from the MacGregor-Hastie collection which forms the basis of the cloth archive of the Scottish Tartans Society. Some of the samples, including this one, were unmarked. One can assume that the sample dates between 1930 and 1950.","Other","The source of tartan 1068 was: MacGregor-Hastie Collection","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=78.htm"
"79","Nor Westers","Nor Westers Tartan WR1069","The source of tartan 1069 was: Unknown","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=79.htm"
"80","Unidentified","Unidentified Tartan 107","One of several mixed up setts in this batch of early plaid types. c. f. Arran by MacNaughtons.","Other","The source of tartan 107 was: M K Book found in Arran","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=80.htm"
"81","Abercrombie","Abercrombie Family Tartan WR1070","The source of tartan 1070 was: MacKinlay","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=81.htm"
"83","Strathclyde","Strathclyde District Tartan WR1072","The navy blue and white are said to represent the 'Scottish Sporting Colours'. This sett is also produced with light blue in place of white.","Other","The source of tartan 1072 was: Laird-Portch of Scotland","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=83.htm"
"84","Stewart, Black","Stewart, Black 1073","This sett appears in Paton's collection. The samples are undated but the collection is known to have been put together around the 1830's, with some additions during the Victorian period.","Other","Paton's collection","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=84.htm"
"85","Unnamed","Unnamed Tartan 1074","This sett is taken from the records of Messrs Bolingbroke and Jones of Norwich, who were weavers around 1870. Some of the tartans have been adopted or modified in recent times as the copyright of the designs is now in the public domain.","Other","The source of tartan 1074 was: Norwich Collection.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=85.htm"
"86","Wilson's No. 118","Wilson's No. 118 WR1075","The source of tartan 1075 was: Wilson's of Bannockburn.","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=86.htm"
"87","Davidson","Davidson Half.. Clan Tartan WR1076","The source of tartan 1076 was: Dgn. Pomanes and Paterson","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=87.htm"
"88","Unnamed","Unnamed Tartan 1077","This sett is taken from the records of Messrs Bolingbroke and Jones of Norwich, who were weavers around 1870. Some of the tartans have been adopted or modified in recent times as the copyright of the designs is now in the public domain.","Other","The source of tartan 1077 was: Norwich Collection.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=88.htm"
"89","Carmichael","Carmichael Family Tartan WR1078","It was the Carmichael of Artherstone who, in 1907, sealed a sample of the Carmichael tartan in the Collection of the Highland Society. This is the first known appearance of the tartan. This sett is sometimes woven in slightly different proportions, most noticable in the black and green stripes. Carmichaels are associated with the Stewarts of Appin and with the MacDougalls (MacMichaels), but all of the name, Carmichael, have the chiefs approval for the wearing of the Carmichael tartan.","Other","The source of tartan 1078 was: The Highland Society of London","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=89.htm"
"90","Gray","Gray Hunting Family Tartan WR1079","There is also a Gray tartan designed by Mrs G. Gray some years earlier.","Other","The source of tartan 1079 was: Dgn. Christie C. Gray","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=90.htm"
"91","Loch Leven","Loch Leven Check Trade Tartan WR108","Sample presented by Clan Crest Textiles Ltd in 1976.","Other","The source of tartan 108 was: Dgn Mrs P.J. Thompson 1976","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=91.htm"
"92","MacDuck","MacDuck Tartan WR1080","The source of tartan 1080 was: Walt Disney","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=92.htm"
"93","MacInroy","MacInroy Clan Tartan WR1081","The pattern books of the old firm of weavers, Wilson's of Bannockburn, provide a reliable early source for this tartan. Wilson's were in business with a monopoly to supply tartan to the regiments in the second half of the 18th century before this pattern was recorded.","Other","The source of tartan 1081 was: Wilson's of Bannockburn","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=93.htm"
"94","Montgomerie of Eglinton","Montgomerie of Eglinton Family Tartan WR1082","D W Stewart, author of Old and Rare Scottish Tartans (1893), was of the opinion that this sett could be traced back to 1707 when it was adopted by the Montgomeries Earls of Eglinton. See Eglinton District.","Other","The source of tartan 1082 was: Old and Rare","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=94.htm"
"95","Morrison","Morrison Clan Tartan WR1083","The Clan Morrison have strong links with the MacKays and this is evident in the similarity of the tartans. Morrison has an added red stripe. Lord Lyon recorded a new sett in 1968 based on a fragment of Morrison tartan dated 1747.","Other","The source of tartan 1083 was: Adam No 92","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=95.htm"
"96","Denholme","Denholme Family Tartan WR1084","This tartan is remarkably similar to the Durham sett designed by Wilson's of Bannockburn around 1819. The variation in proportions may point to a deliberate modification suggested by the links between the names.","Other","The source of tartan 1084 was: Unknown","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=96.htm"
